fecha,dia,tempMedia,tempMax,horMinTempMax,tempMin,horMinTempMin,humedadMedia,humedadMax,horMinHumMax,humedadMin,horMinHumMin,velViento,dirViento,velVientoMax,horMinVelMax,dirVientoVelMax,radiacion,precipitacion,bateria,fechaUtlMod
2022-01-01,1,10.97,20.31,16:24,4.659,07:34,86.7,100.0,08:24,53.16,16:24,0.698,202.2,3.577,11:30,280.2,9.87,0.2,12.73,2022-01-03T07:45:00.000+0100
2022-01-02,2,10.1,19.78,15:30,4.192,07:28,87.6,100.0,06:42,51.49,15:58,0.662,165.7,2.96,13:42,328.9,9.52,0.2,12.71,2022-01-04T07:45:00.000+0100
2022-01-03,3,11.26,21.57,16:06,3.529,07:26,79.8,100.0,08:18,38.8,14:50,0.681,163.9,2.871,11:48,157.0,10.09,0.2,12.73,2022-01-05T07:45:00.000+0100
2022-01-04,4,12.78,19.79,13:04,7.33,23:08,84.4,100.0,04:42,61.19,15:14,1.917,213.7,9.72,14:08,323.7,5.936,0.6,12.75,2022-01-06T07:45:00.000+0100
2022-01-05,5,10.72,16.18,15:02,4.927,06:12,80.1,96.0,08:06,53.84,13:38,1.51,211.5,5.292,23:35,247.1,8.93,2.6,12.74,2022-01-07T07:45:00.000+0100
2022-01-06,6,10.07,15.58,15:50,3.926,07:52,83.6,98.0,08:04,55.11,16:08,1.671,36.02,6.556,12:55,23.91,8.98,0.4,12.69,2022-01-08T07:45:00.000+0100
2022-01-07,7,8.32,16.45,15:24,2.26,06:54,79.6,98.8,06:04,45.09,15:26,2.01,33.9,7.6,15:35,32.82,10.76,0.0,12.61,2022-01-09T07:45:00.000+0100
2022-01-08,8,8.73,17.72,14:46,2.126,06:46,72.9,93.7,07:40,39.35,16:22,1.87,45.31,6.586,10:31,73.9,11.35,0.0,12.73,2022-01-10T07:45:00.000+0100
2022-01-09,9,6.625,15.78,14:02,-1.271,07:46,76.7,95.8,07:54,44.69,16:54,0.77,173.9,4.322,13:25,35.1,10.74,0.0,12.68,2022-01-11T07:45:00.000+0100
2022-01-10,10,9.42,17.58,13:48,2.461,05:30,81.4,94.8,06:20,59.85,13:50,1.753,21.09,7.5,14:13,25.42,10.47,0.0,12.74,2022-01-12T07:45:00.000+0100
2022-01-11,11,13.16,21.64,16:30,7.06,00:44,73.0,93.6,03:30,43.21,14:26,1.942,22.72,6.448,07:46,24.49,10.74,0.2,12.83,2022-01-13T07:45:00.000+0100
2022-01-12,12,10.38,19.78,13:56,2.728,23:50,74.2,96.3,07:00,43.95,13:58,0.971,46.19,4.488,16:08,143.1,9.44,0.0,12.81,2022-01-14T07:45:00.000+0100
2022-01-13,13,8.55,18.78,14:26,0.657,02:58,67.4,90.3,03:20,38.54,14:26,1.018,102.0,7.14,15:02,143.4,10.95,0.0,12.67,2022-01-15T07:45:00.000+0100
2022-01-14,14,9.48,18.52,12:58,1.324,02:04,68.76,88.9,06:36,38.68,14:30,1.175,67.81,4.684,13:49,0.0,10.22,0.0,12.74,2022-01-16T07:45:00.000+0100
2022-01-15,15,9.59,17.85,14:08,0.326,05:54,73.0,93.4,06:36,47.16,13:50,0.848,61.95,3.91,13:53,65.83,9.37,0.0,12.74,2022-01-17T07:45:00.000+0100
2022-01-16,16,10.21,18.58,14:38,4.459,07:54,70.5,91.7,08:16,41.48,14:52,1.525,22.69,5.233,16:03,40.41,10.95,0.0,12.73,2022-01-18T07:45:00.000+0100
2022-01-17,17,8.61,18.72,15:58,1.257,07:00,71.2,89.8,07:50,39.95,15:56,1.218,5.756,6.047,14:00,354.5,11.44,0.0,12.76,2022-01-19T07:45:00.000+0100
2022-01-18,18,8.12,17.92,14:46,0.262,07:02,72.7,93.8,07:38,40.95,15:50,1.145,19.56,4.498,14:21,10.43,11.35,0.0,12.75,2022-01-20T07:45:00.000+0100
2022-01-19,19,7.85,17.11,15:38,-0.409,08:02,72.9,92.8,06:30,44.22,14:46,0.978,1.93,3.891,11:35,17.74,11.31,0.0,12.61,2022-01-21T07:45:00.000+0100
2022-01-20,20,7.19,17.85,15:22,-1.405,07:14,69.42,91.4,06:34,39.08,16:48,1.203,54.52,6.252,14:13,14.99,11.5,0.0,12.67,2022-01-22T07:45:00.000+0100
2022-01-21,21,7.55,17.85,15:46,-0.603,07:12,70.5,92.4,05:34,39.21,14:40,0.983,33.38,4.704,16:29,11.38,11.3,0.0,12.72,2022-01-23T07:45:00.000+0100
