Feature,Importance,Selected
volume_t-16,0.086014320303294,True
volume_t-17,0.08466184914581917,True
volume_t-15,0.08429480943901738,False
volume_t-5,0.0820033098506942,False
volume_t-6,0.08194375793210434,False
volume_t-18,0.08019346402790636,False
volume_t-4,0.07984968453079316,False
volume_t-7,0.07948008980170744,False
volume_t-14,0.0782599621960529,False
volume_t-3,0.07502901461153345,False
volume_t-8,0.07482731901779646,False
volume_t-19,0.07304035082745312,False
volume_t-13,0.07247784370411635,False
volume_t-9,0.06842011238237702,False
volume_t-2,0.06802013134976617,False
volume_t-12,0.06503572149533025,False
volume_t-20,0.06109655450455516,False
volume_t-10,0.060095476739053424,False
volume_t-1,0.05715017701567438,False
volume_t-11,0.05622427598975595,False
low_t-7,2.7645698760173057e-07,False
low_t-8,2.76215907397611e-07,False
low_t-6,2.759625864345123e-07,False
low_t-9,2.754954856414031e-07,False
low_t-5,2.7483493406879293e-07,False
low_t-10,2.7426899343423957e-07,False
low_t-4,2.7359139634144707e-07,False
open_t-7,2.733726359863064e-07,False
open_t-8,2.733498208353566e-07,False
open_t-9,2.730855118227053e-07,False
open_t-6,2.7289056509608005e-07,False
low_t-11,2.7248204386504454e-07,False
low_t-3,2.723414348309183e-07,False
open_t-10,2.7217237557409873e-07,False
close_t-8,2.7198910102491776e-07,False
open_t-5,2.719749832412073e-07,False
close_t-7,2.7179161845877975e-07,False
close_t-9,2.7171378498328424e-07,False
close_t-10,2.7123446819732144e-07,False
low_t-2,2.712221835803196e-07,False
close_t-6,2.7112589983300615e-07,False
open_t-4,2.710612862670381e-07,False
open_t-11,2.709261751478891e-07,False
low_t-12,2.705292651771139e-07,False
close_t-5,2.703154133029152e-07,False
close_t-11,2.7024872460459677e-07,False
open_t-3,2.6997556185255505e-07,False
low_t-1,2.697366091837863e-07,False
open_t-12,2.695461207675131e-07,False
close_t-4,2.693430305814746e-07,False
open_t-2,2.6933318954707785e-07,False
open_t-1,2.6880026990616717e-07,False
close_t-12,2.6879469489719815e-07,False
close_t-3,2.685782373104664e-07,False
low_t-13,2.6833229730428943e-07,False
high_t-10,2.681833721800551e-07,False
high_t-9,2.6800739168487663e-07,False
close_t-2,2.679544163535793e-07,False
high_t-11,2.679339423641669e-07,False
open_t-13,2.6777057507216736e-07,False
close_t-1,2.67676266909097e-07,False
high_t-1,2.6748563881826583e-07,False
high_t-8,2.674812021333708e-07,False
high_t-12,2.6726971011398574e-07,False
close_t-13,2.67162745521691e-07,False
high_t-7,2.6674993825905784e-07,False
high_t-13,2.6624226841456466e-07,False
high_t-6,2.6581052083192914e-07,False
low_t-14,2.6579792560890006e-07,False
open_t-14,2.654679851652033e-07,False
close_t-14,2.652446355413175e-07,False
high_t-5,2.649240497661117e-07,False
high_t-14,2.646755271419369e-07,False
high_t-2,2.6455933760525344e-07,False
high_t-4,2.641370643607571e-07,False
high_t-3,2.636931381158127e-07,False
low_t-15,2.6313393990289005e-07,False
close_t-15,2.6294617356845053e-07,False
open_t-15,2.6289486685930636e-07,False
high_t-15,2.626245595273179e-07,False
close_t-16,2.599786406517114e-07,False
low_t-16,2.5992052045477537e-07,False
high_t-16,2.5985867945051144e-07,False
open_t-16,2.5975052412056506e-07,False
low_t-17,2.5717666542146846e-07,False
close_t-17,2.56855176801865e-07,False
high_t-17,2.5661714807007324e-07,False
open_t-17,2.5625972868684214e-07,False
low_t-18,2.5604923414423435e-07,False
low_t-19,2.541742636235987e-07,False
close_t-18,2.5329831607266146e-07,False
high_t-18,2.5295747600912335e-07,False
open_t-18,2.5267684354549175e-07,False
low_t-20,2.5173276840795185e-07,False
open_t-19,2.5107731657478433e-07,False
close_t-19,2.5105099803589554e-07,False
open_t-20,2.494582940512923e-07,False
close_t-20,2.4945721182064534e-07,False
high_t-19,2.4882340466366645e-07,False
high_t-20,2.4590113680786153e-07,False
