date,open_t-20,high_t-20,low_t-20,close_t-20,volume_t-20,Name_t-20,open_t-19,high_t-19,low_t-19,close_t-19,volume_t-19,Name_t-19,open_t-18,high_t-18,low_t-18,close_t-18,volume_t-18,Name_t-18,open_t-17,high_t-17,low_t-17,close_t-17,volume_t-17,Name_t-17,open_t-16,high_t-16,low_t-16,close_t-16,volume_t-16,Name_t-16,open_t-15,high_t-15,low_t-15,close_t-15,volume_t-15,Name_t-15,open_t-14,high_t-14,low_t-14,close_t-14,volume_t-14,Name_t-14,open_t-13,high_t-13,low_t-13,close_t-13,volume_t-13,Name_t-13,open_t-12,high_t-12,low_t-12,close_t-12,volume_t-12,Name_t-12,open_t-11,high_t-11,low_t-11,close_t-11,volume_t-11,Name_t-11,open_t-10,high_t-10,low_t-10,close_t-10,volume_t-10,Name_t-10,open_t-9,high_t-9,low_t-9,close_t-9,volume_t-9,Name_t-9,open_t-8,high_t-8,low_t-8,close_t-8,volume_t-8,Name_t-8,open_t-7,high_t-7,low_t-7,close_t-7,volume_t-7,Name_t-7,open_t-6,high_t-6,low_t-6,close_t-6,volume_t-6,Name_t-6,open_t-5,high_t-5,low_t-5,close_t-5,volume_t-5,Name_t-5,open_t-4,high_t-4,low_t-4,close_t-4,volume_t-4,Name_t-4,open_t-3,high_t-3,low_t-3,close_t-3,volume_t-3,Name_t-3,open_t-2,high_t-2,low_t-2,close_t-2,volume_t-2,Name_t-2,open_t-1,high_t-1,low_t-1,close_t-1,volume_t-1,Name_t-1,volume,volume_t+1,volume_t+2,volume_t+3,volume_t+4,volume_t+5,volume_t+6,volume_t+7,volume_t+8,volume_t+9,volume_t+10,volume_t+11,volume_t+12,volume_t+13,volume_t+14,volume_t+15,volume_t+16,volume_t+17,volume_t+18,volume_t+19,volume_t+20
2013-03-08,45.07,45.35,45.0,45.08,1824755,A,45.17,45.18,44.45,44.6,2915405,A,44.81,44.95,44.5,44.62,2373731,A,44.81,45.24,44.68,44.75,2052338,A,44.72,44.78,44.36,44.58,3826245,A,43.48,44.24,42.21,42.25,14657315,A,42.21,43.12,42.21,43.01,4116141,A,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,3256301,5472837,3767613,2241086,2840603,2579690,1847766,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400
2013-03-11,45.17,45.18,44.45,44.6,2915405,A,44.81,44.95,44.5,44.62,2373731,A,44.81,45.24,44.68,44.75,2052338,A,44.72,44.78,44.36,44.58,3826245,A,43.48,44.24,42.21,42.25,14657315,A,42.21,43.12,42.21,43.01,4116141,A,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,5472837,3767613,2241086,2840603,2579690,1847766,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420
2013-03-12,44.81,44.95,44.5,44.62,2373731,A,44.81,45.24,44.68,44.75,2052338,A,44.72,44.78,44.36,44.58,3826245,A,43.48,44.24,42.21,42.25,14657315,A,42.21,43.12,42.21,43.01,4116141,A,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,3767613,2241086,2840603,2579690,1847766,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261
2013-03-13,44.81,45.24,44.68,44.75,2052338,A,44.72,44.78,44.36,44.58,3826245,A,43.48,44.24,42.21,42.25,14657315,A,42.21,43.12,42.21,43.01,4116141,A,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,42.56,43.05,42.4,43.0,2241086,A,2241086,2840603,2579690,1847766,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492
2013-03-14,44.72,44.78,44.36,44.58,3826245,A,43.48,44.24,42.21,42.25,14657315,A,42.21,43.12,42.21,43.01,4116141,A,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,42.56,43.05,42.4,43.0,2241086,A,43.03,43.38,43.0,43.32,2840603,A,2840603,2579690,1847766,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564
2013-03-15,43.48,44.24,42.21,42.25,14657315,A,42.21,43.12,42.21,43.01,4116141,A,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,42.56,43.05,42.4,43.0,2241086,A,43.03,43.38,43.0,43.32,2840603,A,43.1,43.22,42.88,43.01,2579690,A,2579690,1847766,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724
2013-03-18,42.21,43.12,42.21,43.01,4116141,A,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,42.56,43.05,42.4,43.0,2241086,A,43.03,43.38,43.0,43.32,2840603,A,43.1,43.22,42.88,43.01,2579690,A,42.46,42.7,42.18,42.55,1847766,A,1847766,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330
2013-03-19,42.84,42.85,42.225,42.24,3873183,A,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,42.56,43.05,42.4,43.0,2241086,A,43.03,43.38,43.0,43.32,2840603,A,43.1,43.22,42.88,43.01,2579690,A,42.46,42.7,42.18,42.55,1847766,A,42.68,42.82,41.59,42.0,6246443,A,6246443,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937
2013-03-20,42.14,42.14,41.47,41.63,3415149,A,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,42.56,43.05,42.4,43.0,2241086,A,43.03,43.38,43.0,43.32,2840603,A,43.1,43.22,42.88,43.01,2579690,A,42.46,42.7,42.18,42.55,1847766,A,42.68,42.82,41.59,42.0,6246443,A,42.25,42.785,42.22,42.7,3240314,A,3240314,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804
2013-03-21,41.83,42.07,41.58,41.8,3354862,A,42.09,42.22,41.29,41.29,3622460,A,40.62,41.29,40.19,40.97,6185811,A,40.99,41.905,40.83,41.73,3564385,A,41.78,42.06,41.45,41.48,3464202,A,41.18,41.98,40.73,41.93,3089323,A,41.75,42.18,41.52,42.03,2435306,A,42.35,43.19,42.34,42.66,3289188,A,43.0,43.52,42.9,43.24,2996908,A,43.3,43.48,42.81,43.25,2414186,A,43.5,43.52,43.02,43.03,3256301,A,42.99,43.01,41.73,42.81,5472837,A,42.8,43.0,42.59,42.62,3767613,A,42.56,43.05,42.4,43.0,2241086,A,43.03,43.38,43.0,43.32,2840603,A,43.1,43.22,42.88,43.01,2579690,A,42.46,42.7,42.18,42.55,1847766,A,42.68,42.82,41.59,42.0,6246443,A,42.25,42.785,42.22,42.7,3240314,A,42.45,42.76,41.63,41.65,4409084,A,4409084,5425027,2797510,2513554,3369968,2147900,2541331,2354390,5278950,3918841,4959134,2395400,1659420,2169261,5626492,6083564,7750724,4505330,4492937,3976804,3075803
