Feature,Importance,Selected
volume_t-1,209988.20774265108,True
volume_t-2,80817.54029389104,True
volume_t-3,36661.70912519255,True
volume_t-4,27497.058824424348,True
volume_t-5,18060.469271406542,True
volume_t-6,16347.80656568843,False
volume_t-7,13049.732638605004,False
volume_t-17,11415.502308979256,False
volume_t-20,11000.72231541342,False
volume_t-15,10847.638832733148,False
volume_t-8,10836.63371363074,False
volume_t-19,10100.700596674731,False
volume_t-14,9992.180281073528,False
volume_t-16,9992.138520302284,False
volume_t-12,8876.573366598905,False
volume_t-13,8340.912789596598,False
volume_t-9,8089.985615484235,False
low_t-1,6314.709528495219,False
volume_t-11,5570.520940993373,False
volume_t-18,4934.344284813845,False
low_t-2,4710.899867606394,False
close_t-1,4274.36618301904,False
volume_t-10,4182.355789799715,False
close_t-2,3886.276346791792,False
open_t-4,3635.1311090564323,False
open_t-2,3629.772600070232,False
low_t-5,3561.6416156773385,False
low_t-6,3539.17573219701,False
low_t-4,3409.3748624626246,False
open_t-1,3377.458993960424,False
low_t-7,3308.448762881426,False
open_t-5,3263.1995904447663,False
open_t-6,3227.99164353402,False
close_t-5,3180.1077735659655,False
low_t-3,3155.921274132942,False
close_t-6,3095.111517617808,False
open_t-7,3094.786034084368,False
high_t-7,3068.0031171104856,False
close_t-3,3054.4198771969745,False
close_t-7,3038.522796340535,False
close_t-10,3028.0837171637404,False
open_t-9,3007.512703638974,False
low_t-10,2994.795092574668,False
high_t-6,2993.5829744992275,False
open_t-3,2981.0662870240785,False
close_t-4,2979.1277426071665,False
high_t-5,2976.4113617072253,False
high_t-4,2944.757277010558,False
high_t-8,2881.7421818174985,False
high_t-9,2804.513341666374,False
low_t-9,2781.386942194493,False
high_t-10,2780.846187064285,False
close_t-8,2767.031672791984,False
open_t-12,2727.331480946735,False
close_t-11,2707.6141509847416,False
high_t-2,2660.1015874472214,False
open_t-8,2641.456083548757,False
low_t-8,2608.8958139556103,False
open_t-11,2581.947711552679,False
open_t-10,2579.9700342591136,False
low_t-11,2578.8798685616584,False
low_t-12,2578.521860009772,False
close_t-9,2572.9510165933075,False
high_t-11,2508.421048877578,False
high_t-3,2467.3960676171164,False
low_t-13,2339.189730093141,False
close_t-13,2310.1985551343514,False
high_t-12,2272.886786297137,False
close_t-12,2149.2008187729725,False
high_t-13,2136.9826074746948,False
open_t-13,2113.2861717592677,False
close_t-14,1866.1487504458667,False
open_t-19,1583.0635743798593,False
open_t-18,1556.8361699776767,False
high_t-14,1476.0598672403564,False
low_t-18,1470.8427624336919,False
low_t-14,1465.6276583099514,False
high_t-20,1411.08408736794,False
open_t-20,1399.2062165695586,False
high_t-19,1392.2402107971407,False
close_t-19,1353.0073290541945,False
low_t-20,1342.720812600256,False
close_t-20,1279.1267093005788,False
low_t-19,1275.5365440165833,False
low_t-15,1210.8316738097706,False
close_t-18,1193.1530086435398,False
high_t-18,1152.444539484175,False
high_t-15,1094.1006904523974,False
open_t-14,1033.823648498216,False
close_t-15,986.9958230682329,False
high_t-1,919.2660157917047,False
open_t-15,891.6647756384959,False
open_t-17,836.8261337484824,False
high_t-17,527.9082043173195,False
low_t-17,381.1127679710648,False
low_t-16,196.41106750498423,False
close_t-16,126.3533935221562,False
close_t-17,75.84991390468063,False
open_t-16,40.77648031710445,False
high_t-16,34.06543577918039,False
