date,open_t-3,open_t-1,low_t-4,high_t-1,low_t-3,volume
2013-03-08,43.0,43.5,42.34,43.52,42.9,3256301
2013-03-11,43.3,42.99,42.9,43.01,42.81,5472837
2013-03-12,43.5,42.8,42.81,43.0,43.02,3767613
2013-03-13,42.99,42.56,43.02,43.05,41.73,2241086
2013-03-14,42.8,43.03,41.73,43.38,42.59,2840603
2013-03-15,42.56,43.1,42.59,43.22,42.4,2579690
2013-03-18,43.03,42.46,42.4,42.7,43.0,1847766
2013-03-19,43.1,42.68,43.0,42.82,42.88,6246443
2013-03-20,42.46,42.25,42.88,42.785,42.18,3240314
2013-03-21,42.68,42.45,42.18,42.76,41.59,4409084
2013-03-22,42.25,41.79,41.59,41.79,42.22,5425027
2013-03-25,42.45,41.49,42.22,41.654,41.63,2797510
2013-03-26,41.79,41.4,41.63,41.82,40.91,2513554
2013-03-27,41.49,41.4,40.91,42.19,40.79,3369968
2013-03-28,41.4,42.08,40.79,42.08,41.32,2147900
2013-04-01,41.4,41.83,41.32,41.9771,41.21,2541331
2013-04-02,42.08,41.12,41.21,41.36,41.4995,2354390
2013-04-03,41.83,40.63,41.4995,40.99,40.79,5278950
2013-04-04,41.12,40.54,40.79,41.47,40.59,3918841
2013-04-05,40.63,40.73,40.59,41.85,40.32,4959134
2013-04-08,40.54,41.44,40.32,41.7425,40.54,2395400
2013-04-09,40.73,41.73,40.54,42.13,40.67,1659420
2013-04-10,41.44,41.73,40.67,42.37,41.17,2169261
2013-04-11,41.73,42.35,41.17,43.93,41.53,5626492
2013-04-12,41.73,43.54,41.53,44.785,41.665,6083564
2013-04-15,42.35,44.5,41.665,44.54,42.3301,7750724
2013-04-16,43.54,43.46,42.3301,43.75,43.43,4505330
2013-04-17,44.5,43.08,43.43,43.11,42.945,4492937
2013-04-18,43.46,41.77,42.945,42.25,42.84,3976804
2013-04-19,43.08,41.89,42.84,42.22,41.93,3075803
2013-04-22,41.77,42.03,41.93,42.25,41.4798,2340457
2013-04-23,41.89,42.21,41.4798,42.8425,41.65,3522419
2013-04-24,42.03,42.72,41.65,43.035,41.34,3020692
2013-04-25,42.21,43.05,41.34,43.25,42.13,2119838
2013-04-26,42.72,42.44,42.13,42.57,42.37,5283798
2013-04-29,43.05,41.64,42.37,41.68,42.66,2541961
2013-04-30,42.44,41.2,42.66,41.66,40.69,3451449
2013-05-01,41.64,41.42,40.69,41.74,41.05,2726213
2013-05-02,41.2,41.49,41.05,41.72,40.95,3437642
2013-05-03,41.42,41.93,40.95,42.55,41.26,4741565
2013-05-06,41.49,41.44,41.26,42.12,41.236,2819360
2013-05-07,41.93,42.18,41.236,42.41,41.54,3524022
2013-05-08,41.44,42.4,41.54,42.95,41.39,2119765
2013-05-09,42.18,42.97,41.39,43.195,41.9,3159293
2013-05-10,42.4,43.12,41.9,43.85,42.3,4662252
2013-05-13,42.97,43.43,42.3,43.56,42.63,4260335
2013-05-14,43.12,42.98,42.63,44.06,43.04,6075845
2013-05-15,43.43,44.9,43.04,46.49,42.72,10289000
2013-05-16,42.98,45.43,42.72,45.84,42.882,4890962
2013-05-17,44.9,45.02,42.882,45.83,44.89,3247851
2013-05-20,45.43,45.48,44.89,47.45,44.97,5698804
2013-05-21,45.02,46.3,44.97,46.96,44.99,4020941
2013-05-22,45.48,46.72,44.99,47.473,45.39,5421887
2013-05-23,46.3,45.7,45.39,45.93,46.21,3777408
2013-05-24,46.72,45.36,46.21,45.69,46.07,2225361
2013-05-28,45.7,46.09,46.07,46.94,45.195,4793962
2013-05-29,45.36,45.98,45.195,46.35,45.25,3621114
2013-05-30,46.09,46.21,45.25,47.05,46.09,3090824
2013-05-31,45.98,45.91,46.09,46.47,45.4,4609273
2013-06-03,46.21,45.65,45.4,45.84,46.01,3677473
2013-06-04,45.91,46.175,46.01,46.45,45.43,3364296
2013-06-05,45.65,45.32,45.43,45.38,45.04,2495073
2013-06-06,46.175,44.5,45.04,45.01,45.38,3781151
2013-06-07,45.32,45.16,45.38,45.92,44.5,2781171
2013-06-10,44.5,45.35,44.5,45.35,44.21,2730800
2013-06-11,45.16,44.22,44.21,44.63,44.94,3914328
2013-06-12,45.35,44.78,44.94,44.828,44.485,2730633
2013-06-13,44.22,43.87,44.485,44.56,44.0,2594941
2013-06-14,44.78,44.34,44.0,44.57,43.795,1677669
2013-06-17,43.87,44.38,43.795,44.869,43.66,2000122
2013-06-18,44.34,44.38,43.66,44.81,43.85,2522376
2013-06-19,44.38,44.74,43.85,44.8796,44.185,5805826
2013-06-20,44.38,43.11,44.185,43.11,44.2701,6307980
2013-06-21,44.74,42.6,44.2701,43.23,43.5,3656145
2013-06-24,43.11,42.44,43.5,42.75,41.85,2871453
2013-06-25,42.6,42.01,41.85,42.82,42.37,2939595
2013-06-26,42.44,43.1,42.37,43.29,42.07,3693707
2013-06-27,42.01,42.56,42.07,43.29,42.01,3447018
2013-06-28,43.1,43.0,42.01,43.305,42.28,5556673
2013-07-01,42.56,43.05,42.28,43.77,42.52,4283821
2013-07-02,43.0,43.5,42.52,43.89,42.73,2986405
2013-07-03,43.05,42.82,42.73,43.46,42.91,1940832
2013-07-05,43.5,43.46,42.91,44.295,42.95,2100873
2013-07-08,42.82,44.38,42.95,44.67,42.72,2572391
2013-07-09,43.46,44.6,42.72,44.96,43.4,3476214
2013-07-10,44.38,44.64,43.4,45.65,44.12,3277684
2013-07-11,44.6,45.69,44.12,45.98,44.34,2131803
