date,volume_t-1,low_t-1,high_t-1,close_t-1,open_t-20,volume
2013-03-08,3256301,43.02,43.52,43.03,45.07,3256301
2013-03-11,5472837,41.73,43.01,42.81,45.17,5472837
2013-03-12,3767613,42.59,43.0,42.62,44.81,3767613
2013-03-13,2241086,42.4,43.05,43.0,44.81,2241086
2013-03-14,2840603,43.0,43.38,43.32,44.72,2840603
2013-03-15,2579690,42.88,43.22,43.01,43.48,2579690
2013-03-18,1847766,42.18,42.7,42.55,42.21,1847766
2013-03-19,6246443,41.59,42.82,42.0,42.84,6246443
2013-03-20,3240314,42.22,42.785,42.7,42.14,3240314
2013-03-21,4409084,41.63,42.76,41.65,41.83,4409084
2013-03-22,5425027,40.91,41.79,41.25,42.09,5425027
2013-03-25,2797510,40.79,41.654,41.13,40.62,2797510
2013-03-26,2513554,41.32,41.82,41.82,40.99,2513554
2013-03-27,3369968,41.21,42.19,42.09,41.78,3369968
2013-03-28,2147900,41.4995,42.08,41.97,41.18,2147900
2013-04-01,2541331,40.79,41.9771,40.93,41.75,2541331
2013-04-02,2354390,40.59,41.36,40.66,42.35,2354390
2013-04-03,5278950,40.32,40.99,40.52,43.0,5278950
2013-04-04,3918841,40.54,41.47,41.41,43.3,3918841
2013-04-05,4959134,40.67,41.85,41.54,43.5,4959134
2013-04-08,2395400,41.17,41.7425,41.66,42.99,2395400
2013-04-09,1659420,41.53,42.13,41.65,42.8,1659420
2013-04-10,2169261,41.665,42.37,42.26,42.56,2169261
2013-04-11,5626492,42.3301,43.93,43.86,43.03,5626492
2013-04-12,6083564,43.43,44.785,44.75,43.1,6083564
2013-04-15,7750724,42.945,44.54,43.04,42.46,7750724
2013-04-16,4505330,42.84,43.75,43.39,42.68,4505330
2013-04-17,4492937,41.93,43.11,42.19,42.25,4492937
2013-04-18,3976804,41.4798,42.25,41.83,42.45,3976804
2013-04-19,3075803,41.65,42.22,42.0,41.79,3075803
2013-04-22,2340457,41.34,42.25,41.85,41.49,2340457
2013-04-23,3522419,42.13,42.8425,42.61,41.4,3522419
2013-04-24,3020692,42.37,43.035,42.85,41.4,3020692
2013-04-25,2119838,42.66,43.25,42.73,42.08,2119838
2013-04-26,5283798,40.69,42.57,41.3,41.83,5283798
2013-04-29,2541961,41.05,41.68,41.46,41.12,2541961
2013-04-30,3451449,40.95,41.66,41.44,40.63,3451449
2013-05-01,2726213,41.26,41.74,41.31,40.54,2726213
2013-05-02,3437642,41.236,41.72,41.48,40.73,3437642
2013-05-03,4741565,41.54,42.55,41.55,41.44,4741565
2013-05-06,2819360,41.39,42.12,42.0,41.73,2819360
2013-05-07,3524022,41.9,42.41,42.4,41.73,3524022
2013-05-08,2119765,42.3,42.95,42.94,42.35,2119765
2013-05-09,3159293,42.63,43.195,43.16,43.54,3159293
2013-05-10,4662252,43.04,43.85,43.63,44.5,4662252
2013-05-13,4260335,42.72,43.56,43.04,43.46,4260335
2013-05-14,6075845,42.882,44.06,43.97,43.08,6075845
2013-05-15,10289000,44.89,46.49,45.68,41.77,10289000
2013-05-16,4890962,44.97,45.84,44.99,41.89,4890962
2013-05-17,3247851,44.99,45.83,45.56,42.03,3247851
2013-05-20,5698804,45.39,47.45,46.34,42.21,5698804
2013-05-21,4020941,46.21,46.96,46.75,42.72,4020941
2013-05-22,5421887,46.07,47.473,46.24,43.05,5421887
2013-05-23,3777408,45.195,45.93,45.74,42.44,3777408
2013-05-24,2225361,45.25,45.69,45.59,41.64,2225361
2013-05-28,4793962,46.09,46.94,46.43,41.2,4793962
2013-05-29,3621114,45.4,46.35,46.05,41.42,3621114
2013-05-30,3090824,46.01,47.05,46.05,41.49,3090824
2013-05-31,4609273,45.43,46.47,45.45,41.93,4609273
2013-06-03,3677473,45.04,45.84,45.51,41.44,3677473
2013-06-04,3364296,45.38,46.45,45.42,42.18,3364296
2013-06-05,2495073,44.5,45.38,44.53,42.4,2495073
2013-06-06,3781151,44.21,45.01,45.01,42.97,3781151
2013-06-07,2781171,44.94,45.92,45.15,43.12,2781171
2013-06-10,2730800,44.485,45.35,44.73,43.43,2730800
2013-06-11,3914328,44.0,44.63,44.4,42.98,3914328
2013-06-12,2730633,43.795,44.828,43.92,44.9,2730633
2013-06-13,2594941,43.66,44.56,44.49,45.43,2594941
2013-06-14,1677669,43.85,44.57,44.0,45.02,1677669
2013-06-17,2000122,44.185,44.869,44.38,45.48,2000122
2013-06-18,2522376,44.2701,44.81,44.8,46.3,2522376
2013-06-19,5805826,43.5,44.8796,43.52,46.72,5805826
2013-06-20,6307980,41.85,43.11,42.32,45.7,6307980
2013-06-21,3656145,42.37,43.23,42.98,45.36,3656145
2013-06-24,2871453,42.07,42.75,42.31,46.09,2871453
2013-06-25,2939595,42.01,42.82,42.48,45.98,2939595
2013-06-26,3693707,42.28,43.29,42.34,46.21,3693707
2013-06-27,3447018,42.52,43.29,43.08,45.91,3447018
2013-06-28,5556673,42.73,43.305,42.76,45.65,5556673
2013-07-01,4283821,42.91,43.77,43.59,46.175,4283821
2013-07-02,2986405,42.95,43.89,43.09,45.32,2986405
2013-07-03,1940832,42.72,43.46,43.17,44.5,1940832
2013-07-05,2100873,43.4,44.295,44.23,45.16,2100873
2013-07-08,2572391,44.12,44.67,44.36,45.35,2572391
2013-07-09,3476214,44.34,44.96,44.6,44.22,3476214
2013-07-10,3277684,44.51,45.65,45.31,44.78,3277684
2013-07-11,2131803,45.43,45.98,45.72,43.87,2131803
2013-07-12,1978819,45.5838,45.95,45.75,44.34,1978819
2013-07-15,2433181,45.68,46.275,46.11,44.38,2433181
2013-07-16,2026749,45.775,46.47,45.91,44.38,2026749
2013-07-17,1196543,45.57,46.1,45.61,44.74,1196543
2013-07-18,1999719,45.55,46.05,45.9,43.11,1999719
2013-07-19,1179308,45.69,46.275,46.2,42.6,1179308
2013-07-22,1836733,46.1,46.85,46.8,42.44,1836733
2013-07-23,2934199,46.31,46.84,46.47,42.01,2934199
2013-07-24,1831121,46.495,46.81,46.76,43.1,1831121
2013-07-25,1420233,46.39,46.9,46.66,42.56,1420233
2013-07-26,3694988,45.4322,46.56,45.6,43.0,3694988
2013-07-29,1962142,44.98,45.7,45.34,43.05,1962142
2013-07-30,2791858,44.82,45.6,44.85,43.5,2791858
2013-07-31,2807402,44.66,45.3,44.73,42.82,2807402
2013-08-01,2745041,45.32,46.2,46.04,43.46,2745041
2013-08-02,2387817,45.9901,46.51,46.38,44.38,2387817
2013-08-05,1875418,45.8,46.4,45.94,44.6,1875418
2013-08-06,2280909,45.61,46.215,46.08,44.64,2280909
2013-08-07,1702122,45.62,46.46,46.28,45.69,1702122
2013-08-08,1702407,45.64,46.55,45.85,45.78,1702407
2013-08-09,1958449,45.81,46.46,46.22,45.7,1958449
2013-08-12,1247241,45.72,46.51,46.45,46.09,1247241
2013-08-13,2078213,46.24,46.98,46.92,45.95,2078213
2013-08-14,1989871,46.37,47.0,46.51,45.66,1989871
2013-08-15,6708341,46.85,48.17,46.96,45.83,6708341
2013-08-16,3624694,46.52,47.22,46.79,46.23,3624694
2013-08-19,1727559,46.42,46.94,46.44,46.31,1727559
2013-08-20,2294328,46.17,47.2699,47.03,46.67,2294328
2013-08-21,1949054,46.64,47.24,46.89,46.62,1949054
2013-08-22,3147986,46.8,48.33,47.97,46.31,3147986
2013-08-23,1702511,47.54,48.0,47.68,45.59,1702511
2013-08-26,2012701,47.39,48.205,47.6,45.55,2012701
2013-08-27,2138064,46.8,47.39,46.97,45.04,2138064
2013-08-28,1590425,46.51,46.97,46.74,45.51,1590425
2013-08-29,1900662,46.42,47.03,46.8,46.06,1900662
2013-08-30,1358573,46.37,46.98,46.64,46.26,1358573
2013-09-03,1565632,46.615,47.51,46.93,45.93,1565632
2013-09-04,2522043,46.74,47.96,47.87,45.88,2522043
2013-09-05,1313188,47.58,48.09,47.68,46.5,1313188
2013-09-06,1332857,47.13,47.79,47.43,45.85,1332857
2013-09-09,1668867,47.29,48.0485,47.95,45.89,1668867
2013-09-10,1821283,48.04,48.67,48.55,46.45,1821283
2013-09-11,1783424,48.22,49.02,48.96,46.77,1783424
2013-09-12,1468485,48.49,48.94,48.62,47.59,1468485
2013-09-13,2141143,48.23,48.62,48.46,46.81,2141143
2013-09-16,1861513,48.58,49.18,48.74,46.63,1861513
2013-09-17,1578387,48.62,49.32,48.87,46.43,1578387
2013-09-18,2044234,48.29,49.35,49.32,46.93,2044234
2013-09-19,18146408,50.749,53.47,50.98,46.89,18146408
2013-09-20,10692052,50.98,52.39,52.15,47.96,10692052
2013-09-23,2716907,51.38,52.24,51.67,47.64,2716907
2013-09-24,2185721,51.2,51.92,51.6,47.08,2185721
2013-09-25,2865074,51.44,52.13,51.83,46.88,2865074
2013-09-26,2680307,51.46,52.12,52.09,46.63,2680307
2013-09-27,2110103,51.4,52.1,51.63,46.89,2110103
2013-09-30,2650001,50.75,51.615,51.25,47.04,2650001
2013-10-01,2997047,50.7,52.08,51.9,46.93,2997047
2013-10-02,2020794,51.15,51.71,51.57,47.82,2020794
2013-10-03,1878510,50.91,51.57,51.06,47.71,1878510
2013-10-04,1867889,51.07,51.86,51.78,47.59,1867889
2013-10-07,1382107,51.07,51.59,51.13,48.04,1382107
2013-10-08,2415258,49.89,51.33,50.13,48.6,2415258
2013-10-09,2430595,49.39,50.38,49.95,48.9,2430595
2013-10-10,2426300,50.29,51.2,50.99,48.6,2426300
2013-10-11,1500903,50.66,51.67,51.46,49.06,1500903
2013-10-14,2110504,50.51,51.43,51.36,48.73,2110504
2013-10-15,1961896,50.6,51.19,50.88,48.77,1961896
2013-10-16,2450818,50.94,51.99,51.56,52.92,2450818
2013-10-17,3548418,51.13,52.7,52.65,51.035,3548418
2013-10-18,2880870,52.63,53.24,52.99,51.91,2880870
2013-10-21,2556379,51.9,53.14,51.99,51.61,2556379
2013-10-22,4280543,50.84,52.2,51.02,51.59,4280543
2013-10-23,2348591,50.3,50.88,50.65,51.96,2348591
2013-10-24,1785894,50.67,51.22,51.12,51.84,1785894
2013-10-25,2398266,51.09,51.91,51.87,51.02,2398266
2013-10-28,1778672,51.12,51.98,51.49,50.7,1778672
2013-10-29,1193955,51.23,51.9,51.7,51.59,1193955
2013-10-30,1360046,50.86,51.82,51.15,51.56,1360046
2013-10-31,1895510,50.45,51.33,50.76,51.17,1895510
2013-11-01,1931035,50.84,51.58,51.1,51.34,1931035
2013-11-04,1409928,50.95,51.46,51.21,51.18,1409928
2013-11-05,1578131,50.854,51.36,51.21,50.23,1578131
2013-11-06,1432940,50.8,51.32,51.04,50.29,1432940
2013-11-07,3548823,49.84,51.195,50.05,50.88,3548823
2013-11-08,1860654,50.01,50.94,50.78,51.2,1860654
2013-11-11,1984482,50.518,51.41,51.3,51.08,1984482
2013-11-12,2357218,50.76,51.4,51.2,51.22,2357218
2013-11-13,2110086,50.66,51.3,51.2,51.25,2110086
2013-11-14,2825818,50.36,51.2,50.54,52.93,2825818
2013-11-15,11014343,53.6902,55.74,54.93,53.04,11014343
2013-11-18,4131521,53.67,54.98,54.05,52.1,4131521
2013-11-19,2473023,53.55,54.19,53.82,50.76,2473023
2013-11-20,2321500,53.465,54.255,53.53,50.67,2321500
2013-11-21,2417644,53.7,54.55,54.1,51.34,2417644
2013-11-22,1910762,53.75,54.3399,53.85,51.79,1910762
2013-11-25,1750170,53.02,54.13,53.11,51.52,1750170
2013-11-26,3196344,53.23,53.93,53.65,51.76,3196344
