Feature,Importance,Selected
volume_t-1,1363927.5640729438,True
low_t-1,33618.76085246651,True
high_t-1,14277.14551487153,True
close_t-1,11166.625852940615,True
open_t-20,9235.020925308841,True
open_t-18,5300.818737905108,False
low_t-8,4306.884078887911,False
open_t-2,4154.041203992564,False
open_t-1,3804.573052332768,False
high_t-14,3510.565233784124,False
open_t-16,3508.482241646327,False
close_t-14,2989.402560077989,False
low_t-18,2986.068765529929,False
open_t-4,2948.809607705286,False
open_t-15,2833.009852002953,False
open_t-3,2746.5277593769815,False
open_t-19,2662.6970906639185,False
close_t-15,2535.787884635179,False
low_t-14,2411.745601052127,False
open_t-11,2340.756824830551,False
close_t-12,2338.966831677885,False
open_t-14,2314.7354851301743,False
high_t-17,2256.9392322226568,False
close_t-8,2211.7099683114216,False
high_t-8,2207.4938406610204,False
high_t-10,2148.218441054723,False
low_t-3,2128.0698153395074,False
close_t-17,2115.8529345639913,False
high_t-4,1802.070020833444,False
high_t-12,1671.817559379983,False
high_t-13,1642.5042234062068,False
open_t-10,1607.654289396228,False
open_t-12,1587.1145237199094,False
low_t-4,1532.394482158596,False
low_t-11,1470.785520434647,False
close_t-4,1458.4177782999475,False
close_t-10,1426.1907803157733,False
low_t-17,1395.3973657537836,False
low_t-5,1366.6203158293042,False
high_t-7,1342.7789620310134,False
close_t-6,1318.2512596552342,False
close_t-3,1306.7903834003796,False
low_t-7,1265.9193619072034,False
high_t-9,1241.0424725364117,False
low_t-20,1203.6582632820598,False
close_t-13,1175.8202723505192,False
close_t-9,1175.4366922386696,False
high_t-3,1130.5601554928414,False
close_t-11,1108.4229117886096,False
low_t-15,1073.6069587946827,False
low_t-10,1027.0802680576733,False
high_t-15,1024.7677681395014,False
close_t-19,957.6278950167234,False
low_t-9,940.1156662153614,False
open_t-6,937.2400545833812,False
high_t-18,934.7227726466316,False
close_t-20,797.9576247776499,False
open_t-17,778.5678340548402,False
open_t-8,748.7534073929753,False
open_t-7,737.017040774833,False
low_t-13,722.4689739396381,False
open_t-5,644.893193330165,False
low_t-2,599.1081491486798,False
close_t-5,586.3662040610315,False
high_t-16,576.8617230679988,False
high_t-5,507.9689839246569,False
high_t-11,466.0068748927964,False
high_t-20,427.09934570082595,False
low_t-16,400.5200578920229,False
high_t-19,389.4411491065998,False
low_t-6,304.58190475100054,False
low_t-12,275.03471184958835,False
close_t-16,242.435215992874,False
open_t-9,210.9137398746147,False
open_t-13,207.33730012196713,False
close_t-18,173.838006360686,False
high_t-2,166.98980297341723,False
close_t-7,112.93342337476216,False
volume_t-8,103.50802687638742,False
high_t-6,99.68916188486968,False
volume_t-2,98.6180955256287,False
volume_t-12,91.75255491862367,False
low_t-19,84.07966713593618,False
volume_t-10,81.14691777900516,False
volume_t-7,72.16964548530191,False
volume_t-13,70.4769246761891,False
volume_t-16,64.77077220278036,False
volume_t-6,63.75368938005215,False
volume_t-17,59.09282747571982,False
volume_t-9,42.9052508933276,False
volume_t-18,42.327290161049625,False
volume_t-20,42.08167405473081,False
volume_t-14,37.62172849350987,False
volume_t-5,33.58887931591519,False
volume_t-11,25.155497824809526,False
volume_t-15,16.404113491577863,False
volume_t-19,14.709836920514402,False
volume_t-4,12.085196781703315,False
close_t-2,2.0517033229683204,False
volume_t-3,0.0,False
