date,volume_t-1,volume_t-2,open_t-11,close_t-9,low_t-7,volume
2013-03-08,3256301,2414186,41.83,40.97,41.45,3256301
2013-03-11,5472837,3256301,42.09,41.73,40.73,5472837
2013-03-12,3767613,5472837,40.62,41.48,41.52,3767613
2013-03-13,2241086,3767613,40.99,41.93,42.34,2241086
2013-03-14,2840603,2241086,41.78,42.03,42.9,2840603
2013-03-15,2579690,2840603,41.18,42.66,42.81,2579690
2013-03-18,1847766,2579690,41.75,43.24,43.02,1847766
2013-03-19,6246443,1847766,42.35,43.25,41.73,6246443
2013-03-20,3240314,6246443,43.0,43.03,42.59,3240314
2013-03-21,4409084,3240314,43.3,42.81,42.4,4409084
2013-03-22,5425027,4409084,43.5,42.62,43.0,5425027
2013-03-25,2797510,5425027,42.99,43.0,42.88,2797510
2013-03-26,2513554,2797510,42.8,43.32,42.18,2513554
2013-03-27,3369968,2513554,42.56,43.01,41.59,3369968
2013-03-28,2147900,3369968,43.03,42.55,42.22,2147900
2013-04-01,2541331,2147900,43.1,42.0,41.63,2541331
2013-04-02,2354390,2541331,42.46,42.7,40.91,2354390
2013-04-03,5278950,2354390,42.68,41.65,40.79,5278950
2013-04-04,3918841,5278950,42.25,41.25,41.32,3918841
2013-04-05,4959134,3918841,42.45,41.13,41.21,4959134
2013-04-08,2395400,4959134,41.79,41.82,41.4995,2395400
2013-04-09,1659420,2395400,41.49,42.09,40.79,1659420
2013-04-10,2169261,1659420,41.4,41.97,40.59,2169261
2013-04-11,5626492,2169261,41.4,40.93,40.32,5626492
2013-04-12,6083564,5626492,42.08,40.66,40.54,6083564
2013-04-15,7750724,6083564,41.83,40.52,40.67,7750724
2013-04-16,4505330,7750724,41.12,41.41,41.17,4505330
2013-04-17,4492937,4505330,40.63,41.54,41.53,4492937
2013-04-18,3976804,4492937,40.54,41.66,41.665,3976804
2013-04-19,3075803,3976804,40.73,41.65,42.3301,3075803
2013-04-22,2340457,3075803,41.44,42.26,43.43,2340457
2013-04-23,3522419,2340457,41.73,43.86,42.945,3522419
2013-04-24,3020692,3522419,41.73,44.75,42.84,3020692
2013-04-25,2119838,3020692,42.35,43.04,41.93,2119838
2013-04-26,5283798,2119838,43.54,43.39,41.4798,5283798
2013-04-29,2541961,5283798,44.5,42.19,41.65,2541961
2013-04-30,3451449,2541961,43.46,41.83,41.34,3451449
2013-05-01,2726213,3451449,43.08,42.0,42.13,2726213
2013-05-02,3437642,2726213,41.77,41.85,42.37,3437642
2013-05-03,4741565,3437642,41.89,42.61,42.66,4741565
2013-05-06,2819360,4741565,42.03,42.85,40.69,2819360
2013-05-07,3524022,2819360,42.21,42.73,41.05,3524022
2013-05-08,2119765,3524022,42.72,41.3,40.95,2119765
2013-05-09,3159293,2119765,43.05,41.46,41.26,3159293
2013-05-10,4662252,3159293,42.44,41.44,41.236,4662252
2013-05-13,4260335,4662252,41.64,41.31,41.54,4260335
2013-05-14,6075845,4260335,41.2,41.48,41.39,6075845
2013-05-15,10289000,6075845,41.42,41.55,41.9,10289000
2013-05-16,4890962,10289000,41.49,42.0,42.3,4890962
2013-05-17,3247851,4890962,41.93,42.4,42.63,3247851
2013-05-20,5698804,3247851,41.44,42.94,43.04,5698804
2013-05-21,4020941,5698804,42.18,43.16,42.72,4020941
2013-05-22,5421887,4020941,42.4,43.63,42.882,5421887
2013-05-23,3777408,5421887,42.97,43.04,44.89,3777408
2013-05-24,2225361,3777408,43.12,43.97,44.97,2225361
2013-05-28,4793962,2225361,43.43,45.68,44.99,4793962
2013-05-29,3621114,4793962,42.98,44.99,45.39,3621114
2013-05-30,3090824,3621114,44.9,45.56,46.21,3090824
2013-05-31,4609273,3090824,45.43,46.34,46.07,4609273
2013-06-03,3677473,4609273,45.02,46.75,45.195,3677473
2013-06-04,3364296,3677473,45.48,46.24,45.25,3364296
2013-06-05,2495073,3364296,46.3,45.74,46.09,2495073
2013-06-06,3781151,2495073,46.72,45.59,45.4,3781151
2013-06-07,2781171,3781151,45.7,46.43,46.01,2781171
2013-06-10,2730800,2781171,45.36,46.05,45.43,2730800
2013-06-11,3914328,2730800,46.09,46.05,45.04,3914328
2013-06-12,2730633,3914328,45.98,45.45,45.38,2730633
2013-06-13,2594941,2730633,46.21,45.51,44.5,2594941
2013-06-14,1677669,2594941,45.91,45.42,44.21,1677669
2013-06-17,2000122,1677669,45.65,44.53,44.94,2000122
2013-06-18,2522376,2000122,46.175,45.01,44.485,2522376
2013-06-19,5805826,2522376,45.32,45.15,44.0,5805826
2013-06-20,6307980,5805826,44.5,44.73,43.795,6307980
2013-06-21,3656145,6307980,45.16,44.4,43.66,3656145
