date,volume_t-19,volume_t-2,volume_t-18,volume_t-15,volume_t-3,volume
2013-03-08,2915405,2414186,2373731,14657315,2996908,3256301
2013-03-11,2373731,3256301,2052338,4116141,2414186,5472837
2013-03-12,2052338,5472837,3826245,3873183,3256301,3767613
2013-03-13,3826245,3767613,14657315,3415149,5472837,2241086
2013-03-14,14657315,2241086,4116141,3354862,3767613,2840603
2013-03-15,4116141,2840603,3873183,3622460,2241086,2579690
2013-03-18,3873183,2579690,3415149,6185811,2840603,1847766
2013-03-19,3415149,1847766,3354862,3564385,2579690,6246443
2013-03-20,3354862,6246443,3622460,3464202,1847766,3240314
2013-03-21,3622460,3240314,6185811,3089323,6246443,4409084
2013-03-22,6185811,4409084,3564385,2435306,3240314,5425027
2013-03-25,3564385,5425027,3464202,3289188,4409084,2797510
2013-03-26,3464202,2797510,3089323,2996908,5425027,2513554
2013-03-27,3089323,2513554,2435306,2414186,2797510,3369968
2013-03-28,2435306,3369968,3289188,3256301,2513554,2147900
2013-04-01,3289188,2147900,2996908,5472837,3369968,2541331
2013-04-02,2996908,2541331,2414186,3767613,2147900,2354390
2013-04-03,2414186,2354390,3256301,2241086,2541331,5278950
2013-04-04,3256301,5278950,5472837,2840603,2354390,3918841
2013-04-05,5472837,3918841,3767613,2579690,5278950,4959134
2013-04-08,3767613,4959134,2241086,1847766,3918841,2395400
2013-04-09,2241086,2395400,2840603,6246443,4959134,1659420
2013-04-10,2840603,1659420,2579690,3240314,2395400,2169261
2013-04-11,2579690,2169261,1847766,4409084,1659420,5626492
2013-04-12,1847766,5626492,6246443,5425027,2169261,6083564
2013-04-15,6246443,6083564,3240314,2797510,5626492,7750724
2013-04-16,3240314,7750724,4409084,2513554,6083564,4505330
2013-04-17,4409084,4505330,5425027,3369968,7750724,4492937
2013-04-18,5425027,4492937,2797510,2147900,4505330,3976804
2013-04-19,2797510,3976804,2513554,2541331,4492937,3075803
2013-04-22,2513554,3075803,3369968,2354390,3976804,2340457
2013-04-23,3369968,2340457,2147900,5278950,3075803,3522419
2013-04-24,2147900,3522419,2541331,3918841,2340457,3020692
2013-04-25,2541331,3020692,2354390,4959134,3522419,2119838
2013-04-26,2354390,2119838,5278950,2395400,3020692,5283798
2013-04-29,5278950,5283798,3918841,1659420,2119838,2541961
2013-04-30,3918841,2541961,4959134,2169261,5283798,3451449
2013-05-01,4959134,3451449,2395400,5626492,2541961,2726213
2013-05-02,2395400,2726213,1659420,6083564,3451449,3437642
2013-05-03,1659420,3437642,2169261,7750724,2726213,4741565
2013-05-06,2169261,4741565,5626492,4505330,3437642,2819360
2013-05-07,5626492,2819360,6083564,4492937,4741565,3524022
2013-05-08,6083564,3524022,7750724,3976804,2819360,2119765
2013-05-09,7750724,2119765,4505330,3075803,3524022,3159293
2013-05-10,4505330,3159293,4492937,2340457,2119765,4662252
2013-05-13,4492937,4662252,3976804,3522419,3159293,4260335
