Feature,Importance,Selected
volume_t-19,0.13830171438500766,True
volume_t-2,0.1287286737187631,True
volume_t-18,0.12611862233305382,True
volume_t-15,0.12465734406634245,True
volume_t-3,0.12307323464065222,True
volume_t-16,0.1228472395118258,False
volume_t-7,0.12060210652181322,False
volume_t-20,0.12018117929514119,False
volume_t-8,0.11754868970270063,False
volume_t-14,0.11742707967296136,False
volume_t-12,0.11641698907641133,False
volume_t-17,0.11573467776167198,False
volume_t-6,0.1130248111471896,False
volume_t-13,0.11298979450278208,False
volume_t-1,0.11118631662431103,False
volume_t-9,0.10941647370472747,False
volume_t-5,0.10935434179050843,False
volume_t-4,0.10872048905010621,False
volume_t-10,0.10768670288934078,False
volume_t-11,0.10631523457919966,False
low_t-2,3.125710278849417e-07,False
low_t-3,3.1050186029918814e-07,False
low_t-6,3.101562657409211e-07,False
low_t-1,3.1006862715196186e-07,False
low_t-5,3.096312512309704e-07,False
low_t-7,3.091972691790355e-07,False
low_t-4,3.0862117214699863e-07,False
low_t-8,3.068971343048681e-07,False
open_t-6,3.065950754897861e-07,False
open_t-7,3.064908452330969e-07,False
open_t-5,3.057329766930995e-07,False
open_t-1,3.0551019228943957e-07,False
open_t-2,3.054755873283814e-07,False
close_t-6,3.0533996777219784e-07,False
close_t-2,3.052060546999895e-07,False
open_t-4,3.0485970549540933e-07,False
close_t-7,3.0476945286582513e-07,False
open_t-8,3.047505539512915e-07,False
close_t-5,3.0455156664634556e-07,False
close_t-3,3.0440458390492675e-07,False
open_t-3,3.042185209113066e-07,False
close_t-4,3.0386879471548566e-07,False
close_t-8,3.0349397982780054e-07,False
close_t-1,3.0348687059521556e-07,False
low_t-9,3.031304302754041e-07,False
open_t-9,3.0141509041992843e-07,False
close_t-9,3.009495650445898e-07,False
high_t-7,3.0070200137137174e-07,False
high_t-8,3.0037989934429396e-07,False
high_t-6,3.0014561993859873e-07,False
high_t-5,2.9898925175696104e-07,False
high_t-1,2.989443318986605e-07,False
high_t-9,2.9869206385759206e-07,False
low_t-10,2.9842310844864354e-07,False
high_t-4,2.978449405770881e-07,False
close_t-10,2.9771184648479725e-07,False
high_t-2,2.973460917625505e-07,False
high_t-3,2.972666668735903e-07,False
open_t-10,2.967655539516137e-07,False
high_t-10,2.9583099317120513e-07,False
low_t-11,2.955353906536883e-07,False
close_t-11,2.9483183487919567e-07,False
open_t-11,2.944756449040605e-07,False
low_t-12,2.9343271356434083e-07,False
high_t-11,2.933350924839311e-07,False
open_t-12,2.924757225720721e-07,False
close_t-12,2.9247105504572865e-07,False
high_t-12,2.9063469967095873e-07,False
low_t-13,2.906276999386718e-07,False
open_t-13,2.899401499355654e-07,False
close_t-13,2.8991566070710133e-07,False
high_t-13,2.8833763766290567e-07,False
close_t-14,2.869295638091856e-07,False
low_t-14,2.8655910256523754e-07,False
open_t-14,2.8614646461752576e-07,False
high_t-14,2.8570662602663805e-07,False
low_t-18,2.8480217731999673e-07,False
high_t-15,2.844293203511279e-07,False
low_t-19,2.837624278126311e-07,False
high_t-16,2.8316574525661036e-07,False
close_t-15,2.830190640555223e-07,False
open_t-16,2.829475150378289e-07,False
open_t-15,2.8273009646889464e-07,False
low_t-15,2.824810007450737e-07,False
low_t-17,2.8240462712115995e-07,False
open_t-17,2.81422218023718e-07,False
close_t-17,2.804849967061937e-07,False
close_t-16,2.8009269858062013e-07,False
low_t-20,2.800853135775258e-07,False
low_t-16,2.7981715383117604e-07,False
high_t-17,2.797671900907931e-07,False
close_t-18,2.791538850426022e-07,False
open_t-18,2.780209436590653e-07,False
close_t-19,2.7719888665502604e-07,False
open_t-19,2.755222390515085e-07,False
close_t-20,2.7506257353896743e-07,False
high_t-18,2.7453642546938894e-07,False
open_t-20,2.7324579199917274e-07,False
high_t-19,2.6845377657929185e-07,False
high_t-20,2.6524610988774865e-07,False
