date,volume_t-1,volume_t-2,volume_t-3,volume_t-4,low_t-1,volume
2013-03-08,3256301,2414186,2996908,3289188,43.02,3256301
2013-03-11,5472837,3256301,2414186,2996908,41.73,5472837
2013-03-12,3767613,5472837,3256301,2414186,42.59,3767613
2013-03-13,2241086,3767613,5472837,3256301,42.4,2241086
2013-03-14,2840603,2241086,3767613,5472837,43.0,2840603
2013-03-15,2579690,2840603,2241086,3767613,42.88,2579690
2013-03-18,1847766,2579690,2840603,2241086,42.18,1847766
2013-03-19,6246443,1847766,2579690,2840603,41.59,6246443
2013-03-20,3240314,6246443,1847766,2579690,42.22,3240314
2013-03-21,4409084,3240314,6246443,1847766,41.63,4409084
2013-03-22,5425027,4409084,3240314,6246443,40.91,5425027
2013-03-25,2797510,5425027,4409084,3240314,40.79,2797510
2013-03-26,2513554,2797510,5425027,4409084,41.32,2513554
2013-03-27,3369968,2513554,2797510,5425027,41.21,3369968
2013-03-28,2147900,3369968,2513554,2797510,41.4995,2147900
2013-04-01,2541331,2147900,3369968,2513554,40.79,2541331
2013-04-02,2354390,2541331,2147900,3369968,40.59,2354390
2013-04-03,5278950,2354390,2541331,2147900,40.32,5278950
2013-04-04,3918841,5278950,2354390,2541331,40.54,3918841
2013-04-05,4959134,3918841,5278950,2354390,40.67,4959134
2013-04-08,2395400,4959134,3918841,5278950,41.17,2395400
2013-04-09,1659420,2395400,4959134,3918841,41.53,1659420
2013-04-10,2169261,1659420,2395400,4959134,41.665,2169261
2013-04-11,5626492,2169261,1659420,2395400,42.3301,5626492
2013-04-12,6083564,5626492,2169261,1659420,43.43,6083564
2013-04-15,7750724,6083564,5626492,2169261,42.945,7750724
2013-04-16,4505330,7750724,6083564,5626492,42.84,4505330
2013-04-17,4492937,4505330,7750724,6083564,41.93,4492937
2013-04-18,3976804,4492937,4505330,7750724,41.4798,3976804
2013-04-19,3075803,3976804,4492937,4505330,41.65,3075803
2013-04-22,2340457,3075803,3976804,4492937,41.34,2340457
2013-04-23,3522419,2340457,3075803,3976804,42.13,3522419
2013-04-24,3020692,3522419,2340457,3075803,42.37,3020692
2013-04-25,2119838,3020692,3522419,2340457,42.66,2119838
2013-04-26,5283798,2119838,3020692,3522419,40.69,5283798
2013-04-29,2541961,5283798,2119838,3020692,41.05,2541961
2013-04-30,3451449,2541961,5283798,2119838,40.95,3451449
2013-05-01,2726213,3451449,2541961,5283798,41.26,2726213
2013-05-02,3437642,2726213,3451449,2541961,41.236,3437642
2013-05-03,4741565,3437642,2726213,3451449,41.54,4741565
2013-05-06,2819360,4741565,3437642,2726213,41.39,2819360
2013-05-07,3524022,2819360,4741565,3437642,41.9,3524022
2013-05-08,2119765,3524022,2819360,4741565,42.3,2119765
2013-05-09,3159293,2119765,3524022,2819360,42.63,3159293
2013-05-10,4662252,3159293,2119765,3524022,43.04,4662252
2013-05-13,4260335,4662252,3159293,2119765,42.72,4260335
2013-05-14,6075845,4260335,4662252,3159293,42.882,6075845
2013-05-15,10289000,6075845,4260335,4662252,44.89,10289000
2013-05-16,4890962,10289000,6075845,4260335,44.97,4890962
2013-05-17,3247851,4890962,10289000,6075845,44.99,3247851
2013-05-20,5698804,3247851,4890962,10289000,45.39,5698804
