date,volume_t-1,low_t-18,volume_t-2,volume_t-4,volume_t-11,volume
2013-03-08,3256301,44.5,2414186,3289188,3354862,3256301
2013-03-11,5472837,44.68,3256301,2996908,3622460,5472837
2013-03-12,3767613,44.36,5472837,2414186,6185811,3767613
2013-03-13,2241086,42.21,3767613,3256301,3564385,2241086
2013-03-14,2840603,42.21,2241086,5472837,3464202,2840603
2013-03-15,2579690,42.225,2840603,3767613,3089323,2579690
2013-03-18,1847766,41.47,2579690,2241086,2435306,1847766
2013-03-19,6246443,41.58,1847766,2840603,3289188,6246443
2013-03-20,3240314,41.29,6246443,2579690,2996908,3240314
2013-03-21,4409084,40.19,3240314,1847766,2414186,4409084
2013-03-22,5425027,40.83,4409084,6246443,3256301,5425027
2013-03-25,2797510,41.45,5425027,3240314,5472837,2797510
2013-03-26,2513554,40.73,2797510,4409084,3767613,2513554
2013-03-27,3369968,41.52,2513554,5425027,2241086,3369968
2013-03-28,2147900,42.34,3369968,2797510,2840603,2147900
2013-04-01,2541331,42.9,2147900,2513554,2579690,2541331
2013-04-02,2354390,42.81,2541331,3369968,1847766,2354390
2013-04-03,5278950,43.02,2354390,2147900,6246443,5278950
2013-04-04,3918841,41.73,5278950,2541331,3240314,3918841
2013-04-05,4959134,42.59,3918841,2354390,4409084,4959134
2013-04-08,2395400,42.4,4959134,5278950,5425027,2395400
2013-04-09,1659420,43.0,2395400,3918841,2797510,1659420
2013-04-10,2169261,42.88,1659420,4959134,2513554,2169261
2013-04-11,5626492,42.18,2169261,2395400,3369968,5626492
2013-04-12,6083564,41.59,5626492,1659420,2147900,6083564
2013-04-15,7750724,42.22,6083564,2169261,2541331,7750724
2013-04-16,4505330,41.63,7750724,5626492,2354390,4505330
2013-04-17,4492937,40.91,4505330,6083564,5278950,4492937
2013-04-18,3976804,40.79,4492937,7750724,3918841,3976804
2013-04-19,3075803,41.32,3976804,4505330,4959134,3075803
2013-04-22,2340457,41.21,3075803,4492937,2395400,2340457
2013-04-23,3522419,41.4995,2340457,3976804,1659420,3522419
2013-04-24,3020692,40.79,3522419,3075803,2169261,3020692
2013-04-25,2119838,40.59,3020692,2340457,5626492,2119838
2013-04-26,5283798,40.32,2119838,3522419,6083564,5283798
2013-04-29,2541961,40.54,5283798,3020692,7750724,2541961
2013-04-30,3451449,40.67,2541961,2119838,4505330,3451449
2013-05-01,2726213,41.17,3451449,5283798,4492937,2726213
2013-05-02,3437642,41.53,2726213,2541961,3976804,3437642
2013-05-03,4741565,41.665,3437642,3451449,3075803,4741565
2013-05-06,2819360,42.3301,4741565,2726213,2340457,2819360
2013-05-07,3524022,43.43,2819360,3437642,3522419,3524022
2013-05-08,2119765,42.945,3524022,4741565,3020692,2119765
2013-05-09,3159293,42.84,2119765,2819360,2119838,3159293
2013-05-10,4662252,41.93,3159293,3524022,5283798,4662252
2013-05-13,4260335,41.4798,4662252,2119765,2541961,4260335
2013-05-14,6075845,41.65,4260335,3159293,3451449,6075845
2013-05-15,10289000,41.34,6075845,4662252,2726213,10289000
2013-05-16,4890962,42.13,10289000,4260335,3437642,4890962
2013-05-17,3247851,42.37,4890962,6075845,4741565,3247851
2013-05-20,5698804,42.66,3247851,10289000,2819360,5698804
2013-05-21,4020941,40.69,5698804,4890962,3524022,4020941
2013-05-22,5421887,41.05,4020941,3247851,2119765,5421887
2013-05-23,3777408,40.95,5421887,5698804,3159293,3777408
2013-05-24,2225361,41.26,3777408,4020941,4662252,2225361
2013-05-28,4793962,41.236,2225361,5421887,4260335,4793962
2013-05-29,3621114,41.54,4793962,3777408,6075845,3621114
2013-05-30,3090824,41.39,3621114,2225361,10289000,3090824
2013-05-31,4609273,41.9,3090824,4793962,4890962,4609273
2013-06-03,3677473,42.3,4609273,3621114,3247851,3677473
2013-06-04,3364296,42.63,3677473,3090824,5698804,3364296
2013-06-05,2495073,43.04,3364296,4609273,4020941,2495073
2013-06-06,3781151,42.72,2495073,3677473,5421887,3781151
2013-06-07,2781171,42.882,3781151,3364296,3777408,2781171
2013-06-10,2730800,44.89,2781171,2495073,2225361,2730800
2013-06-11,3914328,44.97,2730800,3781151,4793962,3914328
2013-06-12,2730633,44.99,3914328,2781171,3621114,2730633
2013-06-13,2594941,45.39,2730633,2730800,3090824,2594941
2013-06-14,1677669,46.21,2594941,3914328,4609273,1677669
2013-06-17,2000122,46.07,1677669,2730633,3677473,2000122
