Feature,Importance,Selected
volume_t-1,0.9746183394834963,True
low_t-18,0.0019982996974388587,True
volume_t-2,0.0017388093717857433,True
volume_t-4,0.001287137158805316,True
volume_t-11,0.0011915799748923445,True
high_t-2,0.001076663408166149,False
volume_t-3,0.0010721269807723044,False
open_t-3,0.000847091489017884,False
volume_t-14,0.0007759208224886834,False
high_t-6,0.0007714091239835018,False
open_t-14,0.0007454737358242704,False
volume_t-19,0.000730778122271494,False
close_t-2,0.0006935241298912686,False
high_t-3,0.0006551120776370258,False
volume_t-13,0.0006447414253397295,False
open_t-6,0.0005975187738224419,False
volume_t-12,0.0005868355678208231,False
close_t-17,0.0005684359000548905,False
high_t-18,0.0005574667576826087,False
low_t-5,0.0005139204100809502,False
volume_t-17,0.0004822131589787421,False
high_t-16,0.0004514555519665751,False
volume_t-16,0.00044556129350947006,False
volume_t-6,0.0004343348822887522,False
close_t-16,0.00043329470232303705,False
close_t-20,0.00042010314687046204,False
close_t-9,0.00040850099077766896,False
low_t-1,0.0003902785372269093,False
volume_t-7,0.0003278941169311266,False
low_t-19,0.00030776551395002576,False
close_t-3,0.00029120249026866134,False
close_t-14,0.0002906796739244732,False
low_t-3,0.000284992188559035,False
close_t-18,0.0002676884391573139,False
low_t-16,0.00026091207320328184,False
volume_t-8,0.00025416466023881336,False
high_t-15,0.00023356528971164178,False
low_t-9,0.00022172535805870712,False
high_t-1,0.00020807166779835364,False
open_t-20,0.0002038143613101776,False
high_t-17,0.0002011870293111643,False
volume_t-18,0.00020079624829049265,False
low_t-6,0.0001784297212152063,False
volume_t-10,0.0001328194020874917,False
close_t-5,0.00011641967758870866,False
volume_t-9,6.399522161702933e-05,False
high_t-12,6.0221358178709055e-05,False
open_t-8,5.787931251923583e-05,False
open_t-16,5.772713032668235e-05,False
high_t-19,4.264452978429994e-05,False
open_t-9,3.885462817397529e-05,False
low_t-12,3.3843559261098e-05,False
close_t-8,3.245049916077109e-05,False
high_t-4,3.1764443507983204e-05,False
high_t-9,3.0410261796007587e-05,False
open_t-4,2.7795010191440415e-05,False
low_t-14,2.502009104077194e-05,False
close_t-15,2.4942649365955236e-05,False
close_t-4,2.4175402199627642e-05,False
open_t-1,2.3294460274619387e-05,False
low_t-4,2.1998871761464054e-05,False
volume_t-20,1.9349460972864356e-05,False
low_t-20,1.8357204231125407e-05,False
close_t-1,1.650906966345891e-05,False
close_t-10,1.627608964275627e-05,False
volume_t-15,1.5163081540682328e-05,False
low_t-13,1.4769397424161296e-05,False
low_t-10,1.4595823630487666e-05,False
high_t-5,1.4393524146570062e-05,False
high_t-13,1.4276466410278014e-05,False
close_t-19,1.145956567619804e-05,False
open_t-11,1.0942876716400291e-05,False
high_t-10,1.0011974762876079e-05,False
open_t-12,9.624727470655636e-06,False
open_t-18,9.579231378670681e-06,False
volume_t-5,9.515680497865148e-06,False
high_t-7,7.278555521348625e-06,False
low_t-11,6.6296957486102725e-06,False
close_t-12,6.251939988090197e-06,False
close_t-13,5.879061052712711e-06,False
open_t-5,4.648250236513447e-06,False
high_t-20,4.609882527531296e-06,False
open_t-17,3.9682510716335585e-06,False
low_t-7,3.9217945642676265e-06,False
close_t-11,3.2337436313261285e-06,False
high_t-14,3.188503452762564e-06,False
low_t-17,3.0799726915042073e-06,False
low_t-2,3.0097923146939197e-06,False
high_t-8,2.5462277526464887e-06,False
low_t-8,2.511881700928325e-06,False
open_t-10,2.400884765598419e-06,False
open_t-13,2.3709188063295338e-06,False
open_t-2,2.217951134309584e-06,False
open_t-15,2.1569463424795107e-06,False
open_t-19,2.0560025979413787e-06,False
low_t-15,1.986614299471569e-06,False
high_t-11,1.6911171957241693e-06,False
open_t-7,1.3322395071090106e-06,False
close_t-6,1.1161987039646158e-06,False
close_t-7,1.0173842489015023e-06,False
