date,open_t-13,volume_t-12,high_t-11,volume_t-11,volume_t-1,volume
2013-03-08,42.84,3415149,42.07,3354862,3256301,3256301
2013-03-11,42.14,3354862,42.22,3622460,5472837,5472837
2013-03-12,41.83,3622460,41.29,6185811,3767613,3767613
2013-03-13,42.09,6185811,41.905,3564385,2241086,2241086
2013-03-14,40.62,3564385,42.06,3464202,2840603,2840603
2013-03-15,40.99,3464202,41.98,3089323,2579690,2579690
2013-03-18,41.78,3089323,42.18,2435306,1847766,1847766
2013-03-19,41.18,2435306,43.19,3289188,6246443,6246443
2013-03-20,41.75,3289188,43.52,2996908,3240314,3240314
2013-03-21,42.35,2996908,43.48,2414186,4409084,4409084
2013-03-22,43.0,2414186,43.52,3256301,5425027,5425027
2013-03-25,43.3,3256301,43.01,5472837,2797510,2797510
2013-03-26,43.5,5472837,43.0,3767613,2513554,2513554
2013-03-27,42.99,3767613,43.05,2241086,3369968,3369968
2013-03-28,42.8,2241086,43.38,2840603,2147900,2147900
2013-04-01,42.56,2840603,43.22,2579690,2541331,2541331
2013-04-02,43.03,2579690,42.7,1847766,2354390,2354390
2013-04-03,43.1,1847766,42.82,6246443,5278950,5278950
2013-04-04,42.46,6246443,42.785,3240314,3918841,3918841
2013-04-05,42.68,3240314,42.76,4409084,4959134,4959134
2013-04-08,42.25,4409084,41.79,5425027,2395400,2395400
2013-04-09,42.45,5425027,41.654,2797510,1659420,1659420
2013-04-10,41.79,2797510,41.82,2513554,2169261,2169261
2013-04-11,41.49,2513554,42.19,3369968,5626492,5626492
2013-04-12,41.4,3369968,42.08,2147900,6083564,6083564
2013-04-15,41.4,2147900,41.9771,2541331,7750724,7750724
2013-04-16,42.08,2541331,41.36,2354390,4505330,4505330
2013-04-17,41.83,2354390,40.99,5278950,4492937,4492937
2013-04-18,41.12,5278950,41.47,3918841,3976804,3976804
2013-04-19,40.63,3918841,41.85,4959134,3075803,3075803
2013-04-22,40.54,4959134,41.7425,2395400,2340457,2340457
2013-04-23,40.73,2395400,42.13,1659420,3522419,3522419
2013-04-24,41.44,1659420,42.37,2169261,3020692,3020692
2013-04-25,41.73,2169261,43.93,5626492,2119838,2119838
2013-04-26,41.73,5626492,44.785,6083564,5283798,5283798
2013-04-29,42.35,6083564,44.54,7750724,2541961,2541961
2013-04-30,43.54,7750724,43.75,4505330,3451449,3451449
2013-05-01,44.5,4505330,43.11,4492937,2726213,2726213
2013-05-02,43.46,4492937,42.25,3976804,3437642,3437642
2013-05-03,43.08,3976804,42.22,3075803,4741565,4741565
2013-05-06,41.77,3075803,42.25,2340457,2819360,2819360
2013-05-07,41.89,2340457,42.8425,3522419,3524022,3524022
2013-05-08,42.03,3522419,43.035,3020692,2119765,2119765
2013-05-09,42.21,3020692,43.25,2119838,3159293,3159293
2013-05-10,42.72,2119838,42.57,5283798,4662252,4662252
2013-05-13,43.05,5283798,41.68,2541961,4260335,4260335
2013-05-14,42.44,2541961,41.66,3451449,6075845,6075845
2013-05-15,41.64,3451449,41.74,2726213,10289000,10289000
2013-05-16,41.2,2726213,41.72,3437642,4890962,4890962
2013-05-17,41.42,3437642,42.55,4741565,3247851,3247851
2013-05-20,41.49,4741565,42.12,2819360,5698804,5698804
2013-05-21,41.93,2819360,42.41,3524022,4020941,4020941
2013-05-22,41.44,3524022,42.95,2119765,5421887,5421887
2013-05-23,42.18,2119765,43.195,3159293,3777408,3777408
2013-05-24,42.4,3159293,43.85,4662252,2225361,2225361
2013-05-28,42.97,4662252,43.56,4260335,4793962,4793962
2013-05-29,43.12,4260335,44.06,6075845,3621114,3621114
2013-05-30,43.43,6075845,46.49,10289000,3090824,3090824
2013-05-31,42.98,10289000,45.84,4890962,4609273,4609273
2013-06-03,44.9,4890962,45.83,3247851,3677473,3677473
2013-06-04,45.43,3247851,47.45,5698804,3364296,3364296
2013-06-05,45.02,5698804,46.96,4020941,2495073,2495073
2013-06-06,45.48,4020941,47.473,5421887,3781151,3781151
2013-06-07,46.3,5421887,45.93,3777408,2781171,2781171
2013-06-10,46.72,3777408,45.69,2225361,2730800,2730800
2013-06-11,45.7,2225361,46.94,4793962,3914328,3914328
2013-06-12,45.36,4793962,46.35,3621114,2730633,2730633
2013-06-13,46.09,3621114,47.05,3090824,2594941,2594941
2013-06-14,45.98,3090824,46.47,4609273,1677669,1677669
2013-06-17,46.21,4609273,45.84,3677473,2000122,2000122
2013-06-18,45.91,3677473,46.45,3364296,2522376,2522376
2013-06-19,45.65,3364296,45.38,2495073,5805826,5805826
2013-06-20,46.175,2495073,45.01,3781151,6307980,6307980
2013-06-21,45.32,3781151,45.92,2781171,3656145,3656145
2013-06-24,44.5,2781171,45.35,2730800,2871453,2871453
2013-06-25,45.16,2730800,44.63,3914328,2939595,2939595
2013-06-26,45.35,3914328,44.828,2730633,3693707,3693707
2013-06-27,44.22,2730633,44.56,2594941,3447018,3447018
2013-06-28,44.78,2594941,44.57,1677669,5556673,5556673
2013-07-01,43.87,1677669,44.869,2000122,4283821,4283821
2013-07-02,44.34,2000122,44.81,2522376,2986405,2986405
2013-07-03,44.38,2522376,44.8796,5805826,1940832,1940832
2013-07-05,44.38,5805826,43.11,6307980,2100873,2100873
2013-07-08,44.74,6307980,43.23,3656145,2572391,2572391
2013-07-09,43.11,3656145,42.75,2871453,3476214,3476214
2013-07-10,42.6,2871453,42.82,2939595,3277684,3277684
2013-07-11,42.44,2939595,43.29,3693707,2131803,2131803
2013-07-12,42.01,3693707,43.29,3447018,1978819,1978819
2013-07-15,43.1,3447018,43.305,5556673,2433181,2433181
2013-07-16,42.56,5556673,43.77,4283821,2026749,2026749
2013-07-17,43.0,4283821,43.89,2986405,1196543,1196543
2013-07-18,43.05,2986405,43.46,1940832,1999719,1999719
2013-07-19,43.5,1940832,44.295,2100873,1179308,1179308
2013-07-22,42.82,2100873,44.67,2572391,1836733,1836733
2013-07-23,43.46,2572391,44.96,3476214,2934199,2934199
2013-07-24,44.38,3476214,45.65,3277684,1831121,1831121
2013-07-25,44.6,3277684,45.98,2131803,1420233,1420233
2013-07-26,44.64,2131803,45.95,1978819,3694988,3694988
2013-07-29,45.69,1978819,46.275,2433181,1962142,1962142
2013-07-30,45.78,2433181,46.47,2026749,2791858,2791858
2013-07-31,45.7,2026749,46.1,1196543,2807402,2807402
2013-08-01,46.09,1196543,46.05,1999719,2745041,2745041
2013-08-02,45.95,1999719,46.275,1179308,2387817,2387817
2013-08-05,45.66,1179308,46.85,1836733,1875418,1875418
2013-08-06,45.83,1836733,46.84,2934199,2280909,2280909
2013-08-07,46.23,2934199,46.81,1831121,1702122,1702122
2013-08-08,46.31,1831121,46.9,1420233,1702407,1702407
2013-08-09,46.67,1420233,46.56,3694988,1958449,1958449
2013-08-12,46.62,3694988,45.7,1962142,1247241,1247241
2013-08-13,46.31,1962142,45.6,2791858,2078213,2078213
2013-08-14,45.59,2791858,45.3,2807402,1989871,1989871
2013-08-15,45.55,2807402,46.2,2745041,6708341,6708341
2013-08-16,45.04,2745041,46.51,2387817,3624694,3624694
2013-08-19,45.51,2387817,46.4,1875418,1727559,1727559
2013-08-20,46.06,1875418,46.215,2280909,2294328,2294328
2013-08-21,46.26,2280909,46.46,1702122,1949054,1949054
2013-08-22,45.93,1702122,46.55,1702407,3147986,3147986
2013-08-23,45.88,1702407,46.46,1958449,1702511,1702511
2013-08-26,46.5,1958449,46.51,1247241,2012701,2012701
2013-08-27,45.85,1247241,46.98,2078213,2138064,2138064
2013-08-28,45.89,2078213,47.0,1989871,1590425,1590425
2013-08-29,46.45,1989871,48.17,6708341,1900662,1900662
2013-08-30,46.77,6708341,47.22,3624694,1358573,1358573
2013-09-03,47.59,3624694,46.94,1727559,1565632,1565632
2013-09-04,46.81,1727559,47.2699,2294328,2522043,2522043
2013-09-05,46.63,2294328,47.24,1949054,1313188,1313188
2013-09-06,46.43,1949054,48.33,3147986,1332857,1332857
2013-09-09,46.93,3147986,48.0,1702511,1668867,1668867
2013-09-10,46.89,1702511,48.205,2012701,1821283,1821283
2013-09-11,47.96,2012701,47.39,2138064,1783424,1783424
2013-09-12,47.64,2138064,46.97,1590425,1468485,1468485
2013-09-13,47.08,1590425,47.03,1900662,2141143,2141143
