date,volume_t-1,close_t-20,close_t-12,close_t-16,close_t-2,volume
2013-03-08,3256301,45.08,41.63,44.58,43.25,3256301
2013-03-11,5472837,44.6,41.8,42.25,43.03,5472837
2013-03-12,3767613,44.62,41.29,43.01,42.81,3767613
2013-03-13,2241086,44.75,40.97,42.24,42.62,2241086
2013-03-14,2840603,44.58,41.73,41.63,43.0,2840603
2013-03-15,2579690,42.25,41.48,41.8,43.32,2579690
2013-03-18,1847766,43.01,41.93,41.29,43.01,1847766
2013-03-19,6246443,42.24,42.03,40.97,42.55,6246443
2013-03-20,3240314,41.63,42.66,41.73,42.0,3240314
2013-03-21,4409084,41.8,43.24,41.48,42.7,4409084
2013-03-22,5425027,41.29,43.25,41.93,41.65,5425027
2013-03-25,2797510,40.97,43.03,42.03,41.25,2797510
2013-03-26,2513554,41.73,42.81,42.66,41.13,2513554
2013-03-27,3369968,41.48,42.62,43.24,41.82,3369968
2013-03-28,2147900,41.93,43.0,43.25,42.09,2147900
2013-04-01,2541331,42.03,43.32,43.03,41.97,2541331
2013-04-02,2354390,42.66,43.01,42.81,40.93,2354390
2013-04-03,5278950,43.24,42.55,42.62,40.66,5278950
2013-04-04,3918841,43.25,42.0,43.0,40.52,3918841
2013-04-05,4959134,43.03,42.7,43.32,41.41,4959134
2013-04-08,2395400,42.81,41.65,43.01,41.54,2395400
2013-04-09,1659420,42.62,41.25,42.55,41.66,1659420
2013-04-10,2169261,43.0,41.13,42.0,41.65,2169261
2013-04-11,5626492,43.32,41.82,42.7,42.26,5626492
2013-04-12,6083564,43.01,42.09,41.65,43.86,6083564
2013-04-15,7750724,42.55,41.97,41.25,44.75,7750724
2013-04-16,4505330,42.0,40.93,41.13,43.04,4505330
2013-04-17,4492937,42.7,40.66,41.82,43.39,4492937
2013-04-18,3976804,41.65,40.52,42.09,42.19,3976804
2013-04-19,3075803,41.25,41.41,41.97,41.83,3075803
2013-04-22,2340457,41.13,41.54,40.93,42.0,2340457
2013-04-23,3522419,41.82,41.66,40.66,41.85,3522419
2013-04-24,3020692,42.09,41.65,40.52,42.61,3020692
2013-04-25,2119838,41.97,42.26,41.41,42.85,2119838
2013-04-26,5283798,40.93,43.86,41.54,42.73,5283798
2013-04-29,2541961,40.66,44.75,41.66,41.3,2541961
2013-04-30,3451449,40.52,43.04,41.65,41.46,3451449
2013-05-01,2726213,41.41,43.39,42.26,41.44,2726213
2013-05-02,3437642,41.54,42.19,43.86,41.31,3437642
2013-05-03,4741565,41.66,41.83,44.75,41.48,4741565
2013-05-06,2819360,41.65,42.0,43.04,41.55,2819360
2013-05-07,3524022,42.26,41.85,43.39,42.0,3524022
2013-05-08,2119765,43.86,42.61,42.19,42.4,2119765
2013-05-09,3159293,44.75,42.85,41.83,42.94,3159293
2013-05-10,4662252,43.04,42.73,42.0,43.16,4662252
2013-05-13,4260335,43.39,41.3,41.85,43.63,4260335
2013-05-14,6075845,42.19,41.46,42.61,43.04,6075845
2013-05-15,10289000,41.83,41.44,42.85,43.97,10289000
2013-05-16,4890962,42.0,41.31,42.73,45.68,4890962
2013-05-17,3247851,41.85,41.48,41.3,44.99,3247851
2013-05-20,5698804,42.61,41.55,41.46,45.56,5698804
2013-05-21,4020941,42.85,42.0,41.44,46.34,4020941
2013-05-22,5421887,42.73,42.4,41.31,46.75,5421887
