Feature,Importance,Selected
open_t-20,0.0,False
volume_t-6,0.0,False
low_t-6,0.0,False
high_t-6,0.0,False
open_t-6,0.0,False
volume_t-7,0.0,False
close_t-7,0.0,False
low_t-7,0.0,False
high_t-7,0.0,False
open_t-7,0.0,False
volume_t-8,0.0,False
close_t-8,0.0,False
low_t-8,0.0,False
high_t-8,0.0,False
open_t-8,0.0,False
volume_t-9,0.0,False
close_t-9,0.0,False
low_t-9,0.0,False
high_t-9,0.0,False
open_t-9,0.0,False
volume_t-10,0.0,False
close_t-10,0.0,False
low_t-10,0.0,False
close_t-6,0.0,False
open_t-5,0.0,False
high_t-20,0.0,False
high_t-5,0.0,False
close_t-1,0.0,False
low_t-1,0.0,False
high_t-1,0.0,False
open_t-1,0.0,False
volume_t-2,0.0,False
low_t-2,0.0,False
high_t-2,0.0,False
open_t-2,0.0,False
volume_t-3,0.0,False
close_t-3,0.0,False
low_t-3,0.0,False
high_t-3,0.0,False
open_t-3,0.0,False
volume_t-4,0.0,False
close_t-4,0.0,False
low_t-4,0.0,False
high_t-4,0.0,False
open_t-4,0.0,False
volume_t-5,0.0,False
close_t-5,0.0,False
low_t-5,0.0,False
high_t-10,0.0,False
open_t-10,0.0,False
volume_t-11,0.0,False
close_t-18,0.0,False
low_t-16,0.0,False
high_t-16,0.0,False
open_t-16,0.0,False
volume_t-17,0.0,False
close_t-17,0.0,False
low_t-17,0.0,False
high_t-17,0.0,False
open_t-17,0.0,False
volume_t-18,0.0,False
low_t-18,0.0,False
open_t-15,0.0,False
high_t-18,0.0,False
open_t-18,0.0,False
volume_t-19,0.0,False
close_t-19,0.0,False
low_t-19,0.0,False
high_t-19,0.0,False
open_t-19,0.0,False
volume_t-20,0.0,False
low_t-20,0.0,False
close_t-11,0.0,False
volume_t-16,0.0,False
high_t-15,0.0,False
low_t-13,0.0,False
low_t-11,0.0,False
high_t-11,0.0,False
open_t-11,0.0,False
volume_t-12,0.0,False
low_t-12,0.0,False
high_t-12,0.0,False
open_t-12,0.0,False
volume_t-13,0.0,False
low_t-15,0.0,False
close_t-13,0.0,False
high_t-13,0.0,False
open_t-13,0.0,False
volume_t-14,0.0,False
close_t-14,0.0,False
low_t-14,0.0,False
high_t-14,0.0,False
open_t-14,0.0,False
volume_t-15,0.0,False
close_t-15,0.0,False
close_t-20,-4.3101479807825375e-20,True
close_t-16,-1.11841674924017e-19,True
close_t-2,-1.1655173354219172e-19,True
close_t-12,-1.1961771509553189e-19,True
volume_t-1,-1.6256367409992695e-19,True
