date,volume_t-4,volume_t-3,low_t-2,volume_t-2,low_t-1,volume
2013-03-08,3289188,2996908,42.81,2414186,43.02,3256301
2013-03-11,2996908,2414186,43.02,3256301,41.73,5472837
2013-03-12,2414186,3256301,41.73,5472837,42.59,3767613
2013-03-13,3256301,5472837,42.59,3767613,42.4,2241086
2013-03-14,5472837,3767613,42.4,2241086,43.0,2840603
2013-03-15,3767613,2241086,43.0,2840603,42.88,2579690
2013-03-18,2241086,2840603,42.88,2579690,42.18,1847766
2013-03-19,2840603,2579690,42.18,1847766,41.59,6246443
2013-03-20,2579690,1847766,41.59,6246443,42.22,3240314
2013-03-21,1847766,6246443,42.22,3240314,41.63,4409084
2013-03-22,6246443,3240314,41.63,4409084,40.91,5425027
2013-03-25,3240314,4409084,40.91,5425027,40.79,2797510
2013-03-26,4409084,5425027,40.79,2797510,41.32,2513554
2013-03-27,5425027,2797510,41.32,2513554,41.21,3369968
2013-03-28,2797510,2513554,41.21,3369968,41.4995,2147900
2013-04-01,2513554,3369968,41.4995,2147900,40.79,2541331
2013-04-02,3369968,2147900,40.79,2541331,40.59,2354390
2013-04-03,2147900,2541331,40.59,2354390,40.32,5278950
2013-04-04,2541331,2354390,40.32,5278950,40.54,3918841
2013-04-05,2354390,5278950,40.54,3918841,40.67,4959134
2013-04-08,5278950,3918841,40.67,4959134,41.17,2395400
2013-04-09,3918841,4959134,41.17,2395400,41.53,1659420
2013-04-10,4959134,2395400,41.53,1659420,41.665,2169261
2013-04-11,2395400,1659420,41.665,2169261,42.3301,5626492
2013-04-12,1659420,2169261,42.3301,5626492,43.43,6083564
2013-04-15,2169261,5626492,43.43,6083564,42.945,7750724
2013-04-16,5626492,6083564,42.945,7750724,42.84,4505330
2013-04-17,6083564,7750724,42.84,4505330,41.93,4492937
2013-04-18,7750724,4505330,41.93,4492937,41.4798,3976804
2013-04-19,4505330,4492937,41.4798,3976804,41.65,3075803
2013-04-22,4492937,3976804,41.65,3075803,41.34,2340457
2013-04-23,3976804,3075803,41.34,2340457,42.13,3522419
2013-04-24,3075803,2340457,42.13,3522419,42.37,3020692
2013-04-25,2340457,3522419,42.37,3020692,42.66,2119838
2013-04-26,3522419,3020692,42.66,2119838,40.69,5283798
2013-04-29,3020692,2119838,40.69,5283798,41.05,2541961
