date,volume_t-20,volume_t-19,volume_t-18,volume_t-17,volume_t-16,volume_t-15,volume_t-14,volume_t-13,volume_t-12,volume_t-11,volume_t-10,volume_t-9,volume_t-8,volume_t-7,volume_t-6,volume_t-5,volume_t-4,volume_t-3,volume_t-2,volume_t-1,volume
2013-03-08,1824755,2915405,2373731,2052338,3826245,14657315,4116141,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,3256301
2013-03-11,2915405,2373731,2052338,3826245,14657315,4116141,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,5472837
2013-03-12,2373731,2052338,3826245,14657315,4116141,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,3767613
2013-03-13,2052338,3826245,14657315,4116141,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2241086
2013-03-14,3826245,14657315,4116141,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2840603
2013-03-15,14657315,4116141,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2579690,2579690
2013-03-18,4116141,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2579690,1847766,1847766
2013-03-19,3873183,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2579690,1847766,6246443,6246443
2013-03-20,3415149,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2579690,1847766,6246443,3240314,3240314
2013-03-21,3354862,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2579690,1847766,6246443,3240314,4409084,4409084
2013-03-22,3622460,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2579690,1847766,6246443,3240314,4409084,5425027,5425027
2013-03-25,6185811,3564385,3464202,3089323,2435306,3289188,2996908,2414186,3256301,5472837,3767613,2241086,2840603,2579690,1847766,6246443,3240314,4409084,5425027,2797510,2797510
