date,volume_t-19,volume_t-20,volume_t-16,volume_t-18,volume_t-17,volume
2013-03-08,2915405,1824755,3826245,2373731,2052338,3256301
2013-03-11,2373731,2915405,14657315,2052338,3826245,5472837
2013-03-12,2052338,2373731,4116141,3826245,14657315,3767613
2013-03-13,3826245,2052338,3873183,14657315,4116141,2241086
2013-03-14,14657315,3826245,3415149,4116141,3873183,2840603
2013-03-15,4116141,14657315,3354862,3873183,3415149,2579690
2013-03-18,3873183,4116141,3622460,3415149,3354862,1847766
2013-03-19,3415149,3873183,6185811,3354862,3622460,6246443
2013-03-20,3354862,3415149,3564385,3622460,6185811,3240314
2013-03-21,3622460,3354862,3464202,6185811,3564385,4409084
2013-03-22,6185811,3622460,3089323,3564385,3464202,5425027
2013-03-25,3564385,6185811,2435306,3464202,3089323,2797510
2013-03-26,3464202,3564385,3289188,3089323,2435306,2513554
2013-03-27,3089323,3464202,2996908,2435306,3289188,3369968
2013-03-28,2435306,3089323,2414186,3289188,2996908,2147900
2013-04-01,3289188,2435306,3256301,2996908,2414186,2541331
2013-04-02,2996908,3289188,5472837,2414186,3256301,2354390
2013-04-03,2414186,2996908,3767613,3256301,5472837,5278950
2013-04-04,3256301,2414186,2241086,5472837,3767613,3918841
2013-04-05,5472837,3256301,2840603,3767613,2241086,4959134
2013-04-08,3767613,5472837,2579690,2241086,2840603,2395400
2013-04-09,2241086,3767613,1847766,2840603,2579690,1659420
2013-04-10,2840603,2241086,6246443,2579690,1847766,2169261
2013-04-11,2579690,2840603,3240314,1847766,6246443,5626492
2013-04-12,1847766,2579690,4409084,6246443,3240314,6083564
2013-04-15,6246443,1847766,5425027,3240314,4409084,7750724
2013-04-16,3240314,6246443,2797510,4409084,5425027,4505330
2013-04-17,4409084,3240314,2513554,5425027,2797510,4492937
2013-04-18,5425027,4409084,3369968,2797510,2513554,3976804
2013-04-19,2797510,5425027,2147900,2513554,3369968,3075803
2013-04-22,2513554,2797510,2541331,3369968,2147900,2340457
2013-04-23,3369968,2513554,2354390,2147900,2541331,3522419
2013-04-24,2147900,3369968,5278950,2541331,2354390,3020692
2013-04-25,2541331,2147900,3918841,2354390,5278950,2119838
2013-04-26,2354390,2541331,4959134,5278950,3918841,5283798
2013-04-29,5278950,2354390,2395400,3918841,4959134,2541961
2013-04-30,3918841,5278950,1659420,4959134,2395400,3451449
2013-05-01,4959134,3918841,2169261,2395400,1659420,2726213
2013-05-02,2395400,4959134,5626492,1659420,2169261,3437642
2013-05-03,1659420,2395400,6083564,2169261,5626492,4741565
2013-05-06,2169261,1659420,7750724,5626492,6083564,2819360
2013-05-07,5626492,2169261,4505330,6083564,7750724,3524022
2013-05-08,6083564,5626492,4492937,7750724,4505330,2119765
