Feature,Importance,Selected
volume_t-19,125759736984599.84,True
volume_t-20,125541598022995.56,True
volume_t-16,125142197555844.33,True
volume_t-18,124999367478565.56,True
volume_t-17,124626928355956.22,True
volume_t-15,124178200745580.83,False
volume_t-14,116045123547320.23,False
volume_t-13,114401498163886.98,False
volume_t-12,112990322901935.6,False
volume_t-11,111686925350883.33,False
volume_t-10,110015612016244.28,False
volume_t-9,108491983270215.38,False
volume_t-8,105242283477283.42,False
volume_t-7,103804006467351.62,False
volume_t-6,102418290274065.92,False
volume_t-5,101621203905685.88,False
volume_t-4,101503702085021.73,False
volume_t-3,100543656089462.53,False
volume_t-1,99888554452589.62,False
volume_t-2,99741000184170.16,False
high_t-1,45655.67731232306,False
open_t-1,45202.29192560112,False
high_t-2,45171.64628623907,False
close_t-1,45144.09590081811,False
low_t-1,44793.08424280918,False
open_t-2,44744.9194030442,False
high_t-3,44724.85120525524,False
close_t-2,44667.84590524178,False
low_t-2,44337.604560083746,False
open_t-3,44301.330153189345,False
high_t-4,44279.336973612786,False
close_t-3,44223.134170300604,False
low_t-3,43896.92575347446,False
open_t-4,43866.404549170904,False
high_t-5,43824.814145614444,False
close_t-4,43774.27576993354,False
low_t-4,43463.30405099402,False
open_t-5,43411.30074432154,False
high_t-6,43375.53074737512,False
close_t-5,43336.10638750622,False
low_t-5,43018.35979396996,False
open_t-6,42981.238675272485,False
high_t-7,42956.53129442241,False
close_t-6,42890.820108269225,False
low_t-6,42582.74412437711,False
open_t-7,42566.95442716103,False
high_t-8,42542.80968226346,False
close_t-7,42469.054644303294,False
low_t-7,42165.82402396205,False
open_t-8,42141.48654074954,False
high_t-9,42123.63506872574,False
close_t-8,42064.19785405887,False
low_t-8,41748.330999114136,False
high_t-10,41722.400435902826,False
open_t-9,41714.013850106014,False
close_t-9,41642.309724841216,False
low_t-9,41322.10106940684,False
high_t-11,41321.66752320515,False
open_t-10,41316.3723265497,False
close_t-10,41230.76149113938,False
high_t-12,40923.367105747246,False
open_t-11,40915.76163135699,False
low_t-10,40914.115398895636,False
close_t-11,40830.831975466666,False
high_t-13,40533.72523031924,False
open_t-12,40520.397778462764,False
low_t-11,40515.02829912963,False
close_t-12,40429.445355387164,False
high_t-14,40146.779369171556,False
open_t-13,40136.73934722089,False
low_t-12,40119.92273203445,False
close_t-13,40037.66690529344,False
high_t-15,39781.07488596444,False
open_t-14,39738.97544375019,False
low_t-13,39732.90207736892,False
close_t-14,39662.283143349545,False
high_t-16,39419.07830383892,False
open_t-15,39368.46458063321,False
low_t-14,39349.98293174182,False
close_t-15,39272.55536876119,False
high_t-17,39076.34277587109,False
open_t-16,39011.268650312246,False
low_t-15,38964.72030408518,False
close_t-16,38922.25316889563,False
high_t-18,38743.11015165868,False
open_t-17,38678.33096318433,False
low_t-16,38614.80434547362,False
close_t-17,38577.61672912077,False
high_t-19,38407.028196027815,False
open_t-18,38346.83938718348,False
low_t-17,38283.89089161097,False
close_t-18,38249.797952588066,False
high_t-20,38083.16023175713,False
open_t-19,38018.44980080105,False
low_t-18,37957.23509389504,False
close_t-19,37921.32734957897,False
open_t-20,37694.187093640285,False
low_t-19,37627.99933449287,False
close_t-20,37596.539929036015,False
low_t-20,37311.127850598685,False
