date,volume_t-1,volume
2013-03-08,3256301,3256301
2013-03-11,5472837,5472837
2013-03-12,3767613,3767613
2013-03-13,2241086,2241086
2013-03-14,2840603,2840603
2013-03-15,2579690,2579690
2013-03-18,1847766,1847766
2013-03-19,6246443,6246443
2013-03-20,3240314,3240314
2013-03-21,4409084,4409084
2013-03-22,5425027,5425027
2013-03-25,2797510,2797510
2013-03-26,2513554,2513554
2013-03-27,3369968,3369968
2013-03-28,2147900,2147900
2013-04-01,2541331,2541331
2013-04-02,2354390,2354390
2013-04-03,5278950,5278950
2013-04-04,3918841,3918841
2013-04-05,4959134,4959134
2013-04-08,2395400,2395400
2013-04-09,1659420,1659420
2013-04-10,2169261,2169261
2013-04-11,5626492,5626492
2013-04-12,6083564,6083564
2013-04-15,7750724,7750724
2013-04-16,4505330,4505330
2013-04-17,4492937,4492937
2013-04-18,3976804,3976804
2013-04-19,3075803,3075803
2013-04-22,2340457,2340457
2013-04-23,3522419,3522419
2013-04-24,3020692,3020692
2013-04-25,2119838,2119838
2013-04-26,5283798,5283798
2013-04-29,2541961,2541961
2013-04-30,3451449,3451449
2013-05-01,2726213,2726213
2013-05-02,3437642,3437642
2013-05-03,4741565,4741565
2013-05-06,2819360,2819360
2013-05-07,3524022,3524022
2013-05-08,2119765,2119765
2013-05-09,3159293,3159293
2013-05-10,4662252,4662252
2013-05-13,4260335,4260335
2013-05-14,6075845,6075845
2013-05-15,10289000,10289000
2013-05-16,4890962,4890962
2013-05-17,3247851,3247851
2013-05-20,5698804,5698804
2013-05-21,4020941,4020941
2013-05-22,5421887,5421887
2013-05-23,3777408,3777408
2013-05-24,2225361,2225361
2013-05-28,4793962,4793962
2013-05-29,3621114,3621114
2013-05-30,3090824,3090824
2013-05-31,4609273,4609273
2013-06-03,3677473,3677473
2013-06-04,3364296,3364296
2013-06-05,2495073,2495073
2013-06-06,3781151,3781151
2013-06-07,2781171,2781171
2013-06-10,2730800,2730800
2013-06-11,3914328,3914328
2013-06-12,2730633,2730633
2013-06-13,2594941,2594941
2013-06-14,1677669,1677669
2013-06-17,2000122,2000122
2013-06-18,2522376,2522376
2013-06-19,5805826,5805826
2013-06-20,6307980,6307980
2013-06-21,3656145,3656145
2013-06-24,2871453,2871453
2013-06-25,2939595,2939595
2013-06-26,3693707,3693707
2013-06-27,3447018,3447018
2013-06-28,5556673,5556673
2013-07-01,4283821,4283821
2013-07-02,2986405,2986405
2013-07-03,1940832,1940832
2013-07-05,2100873,2100873
2013-07-08,2572391,2572391
2013-07-09,3476214,3476214
2013-07-10,3277684,3277684
2013-07-11,2131803,2131803
2013-07-12,1978819,1978819
2013-07-15,2433181,2433181
2013-07-16,2026749,2026749
2013-07-17,1196543,1196543
2013-07-18,1999719,1999719
2013-07-19,1179308,1179308
2013-07-22,1836733,1836733
2013-07-23,2934199,2934199
2013-07-24,1831121,1831121
2013-07-25,1420233,1420233
2013-07-26,3694988,3694988
2013-07-29,1962142,1962142
2013-07-30,2791858,2791858
2013-07-31,2807402,2807402
2013-08-01,2745041,2745041
2013-08-02,2387817,2387817
2013-08-05,1875418,1875418
2013-08-06,2280909,2280909
2013-08-07,1702122,1702122
2013-08-08,1702407,1702407
2013-08-09,1958449,1958449
2013-08-12,1247241,1247241
2013-08-13,2078213,2078213
2013-08-14,1989871,1989871
2013-08-15,6708341,6708341
2013-08-16,3624694,3624694
2013-08-19,1727559,1727559
2013-08-20,2294328,2294328
2013-08-21,1949054,1949054
2013-08-22,3147986,3147986
2013-08-23,1702511,1702511
2013-08-26,2012701,2012701
2013-08-27,2138064,2138064
2013-08-28,1590425,1590425
2013-08-29,1900662,1900662
2013-08-30,1358573,1358573
2013-09-03,1565632,1565632
2013-09-04,2522043,2522043
2013-09-05,1313188,1313188
2013-09-06,1332857,1332857
2013-09-09,1668867,1668867
2013-09-10,1821283,1821283
2013-09-11,1783424,1783424
2013-09-12,1468485,1468485
2013-09-13,2141143,2141143
2013-09-16,1861513,1861513
2013-09-17,1578387,1578387
2013-09-18,2044234,2044234
2013-09-19,18146408,18146408
2013-09-20,10692052,10692052
2013-09-23,2716907,2716907
2013-09-24,2185721,2185721
2013-09-25,2865074,2865074
2013-09-26,2680307,2680307
2013-09-27,2110103,2110103
2013-09-30,2650001,2650001
2013-10-01,2997047,2997047
2013-10-02,2020794,2020794
2013-10-03,1878510,1878510
2013-10-04,1867889,1867889
2013-10-07,1382107,1382107
2013-10-08,2415258,2415258
2013-10-09,2430595,2430595
2013-10-10,2426300,2426300
2013-10-11,1500903,1500903
2013-10-14,2110504,2110504
2013-10-15,1961896,1961896
2013-10-16,2450818,2450818
2013-10-17,3548418,3548418
2013-10-18,2880870,2880870
2013-10-21,2556379,2556379
2013-10-22,4280543,4280543
2013-10-23,2348591,2348591
2013-10-24,1785894,1785894
2013-10-25,2398266,2398266
2013-10-28,1778672,1778672
2013-10-29,1193955,1193955
2013-10-30,1360046,1360046
2013-10-31,1895510,1895510
2013-11-01,1931035,1931035
2013-11-04,1409928,1409928
2013-11-05,1578131,1578131
2013-11-06,1432940,1432940
2013-11-07,3548823,3548823
2013-11-08,1860654,1860654
2013-11-11,1984482,1984482
2013-11-12,2357218,2357218
2013-11-13,2110086,2110086
2013-11-14,2825818,2825818
2013-11-15,11014343,11014343
2013-11-18,4131521,4131521
2013-11-19,2473023,2473023
2013-11-20,2321500,2321500
2013-11-21,2417644,2417644
2013-11-22,1910762,1910762
2013-11-25,1750170,1750170
2013-11-26,3196344,3196344
2013-11-27,1189764,1189764
2013-11-29,870409,870409
2013-12-02,1459197,1459197
2013-12-03,2478051,2478051
2013-12-04,2415795,2415795
2013-12-05,1810391,1810391
2013-12-06,3053347,3053347
2013-12-09,2118503,2118503
2013-12-10,2326895,2326895
2013-12-11,2349926,2349926
2013-12-12,2714297,2714297
2013-12-13,2022610,2022610
2013-12-16,1685454,1685454
2013-12-17,3209227,3209227
2013-12-18,4136283,4136283
2013-12-19,1893211,1893211
2013-12-20,2954031,2954031
2013-12-23,1578464,1578464
2013-12-24,779696,779696
2013-12-26,714431,714431
2013-12-27,653055,653055
2013-12-30,1127980,1127980
2013-12-31,941447,941447
2014-01-02,1916160,1916160
2014-01-03,1866651,1866651
2014-01-06,1777472,1777472
2014-01-07,1463208,1463208
2014-01-08,2659468,2659468
2014-01-09,1757647,1757647
2014-01-10,1623330,1623330
2014-01-13,2946738,2946738
2014-01-14,2562236,2562236
2014-01-15,2335194,2335194
2014-01-16,1835957,1835957
2014-01-17,1699534,1699534
2014-01-21,3008458,3008458
2014-01-22,2769350,2769350
2014-01-23,3063559,3063559
2014-01-24,2656341,2656341
2014-01-27,4669012,4669012
2014-01-28,2536290,2536290
2014-01-29,2163031,2163031
2014-01-30,3743153,3743153
2014-01-31,3529054,3529054
2014-02-03,2929252,2929252
2014-02-04,2911877,2911877
2014-02-05,2283870,2283870
2014-02-06,1609451,1609451
2014-02-07,1975290,1975290
2014-02-10,1760468,1760468
2014-02-11,2148202,2148202
2014-02-12,2347270,2347270
2014-02-13,3097011,3097011
2014-02-14,17862776,17862776
2014-02-18,6553839,6553839
2014-02-19,4838795,4838795
2014-02-20,4629755,4629755
2014-02-21,2407171,2407171
2014-02-24,2392783,2392783
2014-02-25,3375173,3375173
2014-02-26,2400946,2400946
2014-02-27,3123781,3123781
2014-02-28,2876261,2876261
2014-03-03,2488373,2488373
2014-03-04,2841919,2841919
2014-03-05,3113546,3113546
2014-03-06,5178833,5178833
2014-03-07,3247154,3247154
2014-03-10,2563418,2563418
2014-03-11,3421731,3421731
2014-03-12,1652324,1652324
2014-03-13,2318832,2318832
2014-03-14,1745218,1745218
2014-03-17,1437471,1437471
2014-03-18,1294681,1294681
2014-03-19,1804350,1804350
2014-03-20,1808447,1808447
2014-03-21,2762931,2762931
2014-03-24,1985703,1985703
2014-03-25,1727269,1727269
2014-03-26,2560731,2560731
2014-03-27,2972614,2972614
2014-03-28,2006941,2006941
2014-03-31,2190772,2190772
2014-04-01,2090720,2090720
2014-04-02,1919493,1919493
2014-04-03,1603010,1603010
2014-04-04,2307668,2307668
2014-04-07,2584538,2584538
2014-04-08,1842491,1842491
2014-04-09,2017519,2017519
2014-04-10,1966409,1966409
2014-04-11,2591968,2591968
2014-04-14,2840577,2840577
2014-04-15,2172515,2172515
2014-04-16,1243513,1243513
2014-04-17,2061997,2061997
2014-04-21,1185867,1185867
2014-04-22,1475541,1475541
2014-04-23,894232,894232
2014-04-24,1806441,1806441
2014-04-25,1580495,1580495
2014-04-28,3009046,3009046
2014-04-29,3359741,3359741
2014-04-30,1678627,1678627
2014-05-01,1472407,1472407
2014-05-02,2080946,2080946
2014-05-05,2087256,2087256
2014-05-06,2224227,2224227
