date,volume_t-1,volume_t-5,volume_t-18,volume_t-17,volume_t-15,volume
2013-03-08,3256301,2435306,2373731,2052338,14657315,3256301
2013-03-11,5472837,3289188,2052338,3826245,4116141,5472837
2013-03-12,3767613,2996908,3826245,14657315,3873183,3767613
2013-03-13,2241086,2414186,14657315,4116141,3415149,2241086
2013-03-14,2840603,3256301,4116141,3873183,3354862,2840603
2013-03-15,2579690,5472837,3873183,3415149,3622460,2579690
2013-03-18,1847766,3767613,3415149,3354862,6185811,1847766
2013-03-19,6246443,2241086,3354862,3622460,3564385,6246443
2013-03-20,3240314,2840603,3622460,6185811,3464202,3240314
2013-03-21,4409084,2579690,6185811,3564385,3089323,4409084
2013-03-22,5425027,1847766,3564385,3464202,2435306,5425027
2013-03-25,2797510,6246443,3464202,3089323,3289188,2797510
2013-03-26,2513554,3240314,3089323,2435306,2996908,2513554
2013-03-27,3369968,4409084,2435306,3289188,2414186,3369968
2013-03-28,2147900,5425027,3289188,2996908,3256301,2147900
2013-04-01,2541331,2797510,2996908,2414186,5472837,2541331
2013-04-02,2354390,2513554,2414186,3256301,3767613,2354390
2013-04-03,5278950,3369968,3256301,5472837,2241086,5278950
2013-04-04,3918841,2147900,5472837,3767613,2840603,3918841
2013-04-05,4959134,2541331,3767613,2241086,2579690,4959134
2013-04-08,2395400,2354390,2241086,2840603,1847766,2395400
2013-04-09,1659420,5278950,2840603,2579690,6246443,1659420
2013-04-10,2169261,3918841,2579690,1847766,3240314,2169261
2013-04-11,5626492,4959134,1847766,6246443,4409084,5626492
2013-04-12,6083564,2395400,6246443,3240314,5425027,6083564
2013-04-15,7750724,1659420,3240314,4409084,2797510,7750724
2013-04-16,4505330,2169261,4409084,5425027,2513554,4505330
2013-04-17,4492937,5626492,5425027,2797510,3369968,4492937
2013-04-18,3976804,6083564,2797510,2513554,2147900,3976804
2013-04-19,3075803,7750724,2513554,3369968,2541331,3075803
2013-04-22,2340457,4505330,3369968,2147900,2354390,2340457
2013-04-23,3522419,4492937,2147900,2541331,5278950,3522419
2013-04-24,3020692,3976804,2541331,2354390,3918841,3020692
2013-04-25,2119838,3075803,2354390,5278950,4959134,2119838
2013-04-26,5283798,2340457,5278950,3918841,2395400,5283798
2013-04-29,2541961,3522419,3918841,4959134,1659420,2541961
2013-04-30,3451449,3020692,4959134,2395400,2169261,3451449
2013-05-01,2726213,2119838,2395400,1659420,5626492,2726213
2013-05-02,3437642,5283798,1659420,2169261,6083564,3437642
2013-05-03,4741565,2541961,2169261,5626492,7750724,4741565
2013-05-06,2819360,3451449,5626492,6083564,4505330,2819360
2013-05-07,3524022,2726213,6083564,7750724,4492937,3524022
2013-05-08,2119765,3437642,7750724,4505330,3976804,2119765
2013-05-09,3159293,4741565,4505330,4492937,3075803,3159293
2013-05-10,4662252,2819360,4492937,3976804,2340457,4662252
2013-05-13,4260335,3524022,3976804,3075803,3522419,4260335
2013-05-14,6075845,2119765,3075803,2340457,3020692,6075845
2013-05-15,10289000,3159293,2340457,3522419,2119838,10289000
2013-05-16,4890962,4662252,3522419,3020692,5283798,4890962
2013-05-17,3247851,4260335,3020692,2119838,2541961,3247851
2013-05-20,5698804,6075845,2119838,5283798,3451449,5698804
2013-05-21,4020941,10289000,5283798,2541961,2726213,4020941
2013-05-22,5421887,4890962,2541961,3451449,3437642,5421887
2013-05-23,3777408,3247851,3451449,2726213,4741565,3777408
2013-05-24,2225361,5698804,2726213,3437642,2819360,2225361
2013-05-28,4793962,4020941,3437642,4741565,3524022,4793962
