Feature,Importance,Selected
volume_t-1,3.321928094887362,True
volume_t-5,3.320288750625067,True
volume_t-18,3.318649406362772,True
volume_t-7,3.318649406362772,False
volume_t-15,3.318649406362772,True
volume_t-9,3.318649406362772,False
volume_t-17,3.318649406362772,True
volume_t-13,3.317010062100477,False
volume_t-11,3.317010062100477,False
volume_t-14,3.317010062100477,False
volume_t-10,3.317010062100477,False
volume_t-16,3.317010062100477,False
volume_t-3,3.317010062100477,False
volume_t-2,3.317010062100477,False
volume_t-12,3.317010062100477,False
volume_t-4,3.317010062100477,False
volume_t-6,3.317010062100477,False
volume_t-20,3.317010062100477,False
volume_t-8,3.317010062100477,False
volume_t-19,3.317010062100477,False
low_t-5,3.027770564105324,False
low_t-14,3.025729396076084,False
low_t-4,3.023471291566114,False
low_t-1,3.023471291566114,False
low_t-19,3.0195738427938488,False
low_t-7,3.018553258779229,False
low_t-9,3.0185532587792285,False
low_t-2,3.0179344985315537,False
low_t-10,3.0169139145169335,False
low_t-16,3.0146558100069636,False
low_t-6,3.013635225992344,False
low_t-12,3.013635225992344,False
low_t-11,3.0126146419777236,False
low_t-3,3.0113771214823735,False
low_t-8,3.0097377772200784,False
low_t-15,3.0080984329577833,False
low_t-20,3.0064590886954883,False
low_t-13,3.005036680913923,False
high_t-1,3.0044179206662482,False
high_t-3,3.003799160418573,False
high_t-19,3.003397336651628,False
low_t-18,3.003180400170898,False
high_t-2,3.002159816156278,False
high_t-9,3.001757992389333,False
low_t-17,3.001541055908603,False
high_t-13,3.001139232141658,False
high_t-6,3.001139232141658,False
high_t-16,2.997860543617068,False
high_t-14,2.996221199354773,False
high_t-18,2.996221199354773,False
high_t-11,2.994581855092478,False
high_t-4,2.9945818550924774,False
high_t-20,2.992942510830183,False
high_t-17,2.9925406870632374,False
high_t-15,2.9919219268155626,False
high_t-8,2.9913031665678878,False
high_t-7,2.9896638223055927,False
high_t-10,2.9886432382909724,False
high_t-5,2.9874057177956224,False
high_t-12,2.9837252055040873,False
close_t-1,2.942410756328753,False
close_t-5,2.9405544755857282,False
close_t-4,2.9405544755857282,False
close_t-9,2.932357754274253,False
close_t-6,2.931337170259633,False
close_t-10,2.930099649764283,False
close_t-2,2.928058481735043,False
close_t-15,2.926820961239693,False
close_t-3,2.9258003772250727,False
close_t-20,2.925583440744343,False
close_t-16,2.923542272715103,False
close_t-7,2.9225216887004826,False
close_t-12,2.9196448239428374,False
close_t-13,2.918005479680543,False
close_t-14,2.9180054796805424,False
close_t-19,2.9173867194328675,False
close_t-8,2.9169848956659226,False
close_t-11,2.9120668628790374,False
close_t-17,2.908169414106772,False
close_t-18,2.905911309596802,False
open_t-12,2.8768547443906343,False
open_t-9,2.8741948161137194,False
open_t-14,2.8692767833268342,False
open_t-4,2.8688749595598892,False
open_t-7,2.865998094802244,False
open_t-3,2.865596271035299,False
open_t-10,2.862719406277654,False
open_t-15,2.862100646029979,False
open_t-8,2.8604613017676837,False
open_t-19,2.8604613017676837,False
open_t-6,2.859440717753064,False
open_t-13,2.8582031972577138,False
open_t-5,2.857399549723824,False
open_t-17,2.8571826132430935,False
open_t-1,2.8557602054615288,False
open_t-2,2.8551414452138535,False
open_t-11,2.8549245087331236,False
open_t-20,2.8545226849661787,False
open_t-16,2.8500064759462385,False
open_t-18,2.838531066110173,False
