date,volume_t-16,volume_t-19,volume_t-7,volume_t-10,volume_t-18,volume
2013-03-08,3826245,2915405,3464202,3622460,2373731,3256301
2013-03-11,14657315,2373731,3089323,6185811,2052338,5472837
2013-03-12,4116141,2052338,2435306,3564385,3826245,3767613
2013-03-13,3873183,3826245,3289188,3464202,14657315,2241086
2013-03-14,3415149,14657315,2996908,3089323,4116141,2840603
2013-03-15,3354862,4116141,2414186,2435306,3873183,2579690
2013-03-18,3622460,3873183,3256301,3289188,3415149,1847766
2013-03-19,6185811,3415149,5472837,2996908,3354862,6246443
2013-03-20,3564385,3354862,3767613,2414186,3622460,3240314
2013-03-21,3464202,3622460,2241086,3256301,6185811,4409084
2013-03-22,3089323,6185811,2840603,5472837,3564385,5425027
2013-03-25,2435306,3564385,2579690,3767613,3464202,2797510
2013-03-26,3289188,3464202,1847766,2241086,3089323,2513554
2013-03-27,2996908,3089323,6246443,2840603,2435306,3369968
2013-03-28,2414186,2435306,3240314,2579690,3289188,2147900
2013-04-01,3256301,3289188,4409084,1847766,2996908,2541331
2013-04-02,5472837,2996908,5425027,6246443,2414186,2354390
2013-04-03,3767613,2414186,2797510,3240314,3256301,5278950
2013-04-04,2241086,3256301,2513554,4409084,5472837,3918841
2013-04-05,2840603,5472837,3369968,5425027,3767613,4959134
2013-04-08,2579690,3767613,2147900,2797510,2241086,2395400
2013-04-09,1847766,2241086,2541331,2513554,2840603,1659420
2013-04-10,6246443,2840603,2354390,3369968,2579690,2169261
2013-04-11,3240314,2579690,5278950,2147900,1847766,5626492
2013-04-12,4409084,1847766,3918841,2541331,6246443,6083564
2013-04-15,5425027,6246443,4959134,2354390,3240314,7750724
2013-04-16,2797510,3240314,2395400,5278950,4409084,4505330
2013-04-17,2513554,4409084,1659420,3918841,5425027,4492937
2013-04-18,3369968,5425027,2169261,4959134,2797510,3976804
2013-04-19,2147900,2797510,5626492,2395400,2513554,3075803
2013-04-22,2541331,2513554,6083564,1659420,3369968,2340457
2013-04-23,2354390,3369968,7750724,2169261,2147900,3522419
2013-04-24,5278950,2147900,4505330,5626492,2541331,3020692
2013-04-25,3918841,2541331,4492937,6083564,2354390,2119838
2013-04-26,4959134,2354390,3976804,7750724,5278950,5283798
2013-04-29,2395400,5278950,3075803,4505330,3918841,2541961
2013-04-30,1659420,3918841,2340457,4492937,4959134,3451449
2013-05-01,2169261,4959134,3522419,3976804,2395400,2726213
2013-05-02,5626492,2395400,3020692,3075803,1659420,3437642
2013-05-03,6083564,1659420,2119838,2340457,2169261,4741565
2013-05-06,7750724,2169261,5283798,3522419,5626492,2819360
2013-05-07,4505330,5626492,2541961,3020692,6083564,3524022
