Feature,Importance,Selected
volume_t-16,1.0,True
volume_t-19,0.4234595068089493,True
volume_t-7,0.3806719508257371,True
volume_t-10,0.37882357025427305,True
volume_t-18,0.3280627625694138,True
volume_t-4,0.32347102939922134,False
volume_t-2,0.32038982510766667,False
volume_t-5,0.24849629800665335,False
volume_t-13,0.24116274344892194,False
volume_t-12,0.2023907079636252,False
volume_t-17,0.18257459675056492,False
volume_t-11,0.17830683285613924,False
volume_t-15,0.12128776118585193,False
volume_t-20,0.10475627927285612,False
volume_t-8,0.09998758405614201,False
volume_t-14,0.09710759517521439,False
volume_t-3,0.06241553526598531,False
volume_t-6,0.06032460576316628,False
volume_t-9,0.03696081760346242,False
volume_t-1,0.00015586854326127142,False
open_t-1,1.9895438559657214e-06,False
close_t-1,1.9598635382573114e-06,False
low_t-1,1.9538131341914064e-06,False
close_t-2,1.8361409915749908e-06,False
high_t-20,1.8301059612728318e-06,False
high_t-1,1.8017110621056806e-06,False
high_t-16,1.7729977393878472e-06,False
low_t-2,1.673439182051111e-06,False
high_t-18,1.6663152489045572e-06,False
low_t-13,1.6454173220991e-06,False
open_t-16,1.64106138772497e-06,False
open_t-12,1.636073870657363e-06,False
low_t-20,1.5994736608828604e-06,False
open_t-19,1.5953111255068448e-06,False
low_t-19,1.5856852624498122e-06,False
low_t-12,1.5836485010703927e-06,False
open_t-20,1.5636094201827762e-06,False
low_t-8,1.5543885645339148e-06,False
close_t-19,1.5488026410600147e-06,False
close_t-20,1.5391322716943858e-06,False
open_t-18,1.521679401653026e-06,False
high_t-12,1.5012535227691803e-06,False
open_t-8,1.462623431005803e-06,False
close_t-18,1.4567817997017659e-06,False
high_t-19,1.4348839826690912e-06,False
open_t-17,1.3988040898165908e-06,False
high_t-6,1.3981041326775596e-06,False
low_t-18,1.3852902982450075e-06,False
close_t-17,1.3322188975640962e-06,False
open_t-6,1.3174036240681219e-06,False
close_t-9,1.3108260236896702e-06,False
low_t-17,1.2823060999699516e-06,False
open_t-9,1.2811610797450174e-06,False
low_t-7,1.27737340829675e-06,False
low_t-9,1.2679931374282933e-06,False
high_t-9,1.2422416969758006e-06,False
open_t-7,1.2361314128375537e-06,False
high_t-7,1.2197414297944879e-06,False
close_t-13,1.189006719460996e-06,False
close_t-10,1.1619724926711883e-06,False
low_t-16,1.1392029623229016e-06,False
open_t-11,1.1390117886402157e-06,False
close_t-7,1.1326259722772105e-06,False
high_t-17,1.1323075487265317e-06,False
close_t-12,1.126977739971284e-06,False
low_t-11,1.1238780915935664e-06,False
high_t-2,1.0851177171554365e-06,False
high_t-8,1.0795510140290735e-06,False
high_t-11,1.0449507462072753e-06,False
close_t-8,1.0433556082184938e-06,False
high_t-10,1.0416987654447628e-06,False
high_t-13,1.0052697015140842e-06,False
close_t-16,9.72013924814551e-07,False
open_t-10,9.66959648284054e-07,False
high_t-14,9.537959531539378e-07,False
low_t-6,9.399391802753273e-07,False
open_t-2,9.173361416957525e-07,False
low_t-14,9.154413936153149e-07,False
low_t-3,8.942599247066969e-07,False
low_t-10,8.79799684458184e-07,False
open_t-4,8.756885347812975e-07,False
high_t-3,8.709166698660993e-07,False
low_t-4,8.628072512664804e-07,False
open_t-15,8.55211270198319e-07,False
close_t-14,8.547730865029529e-07,False
close_t-5,8.005403664700614e-07,False
close_t-3,7.97173680240802e-07,False
high_t-15,7.807545646529014e-07,False
close_t-11,7.704748657480941e-07,False
open_t-13,7.418950619560336e-07,False
close_t-4,7.334502310593186e-07,False
high_t-4,6.832772750041765e-07,False
low_t-5,6.722274198021757e-07,False
close_t-6,5.875988414281573e-07,False
open_t-14,5.624986046195026e-07,False
high_t-5,5.617096348632908e-07,False
open_t-5,5.57398206797749e-07,False
low_t-15,4.569307098301734e-07,False
close_t-15,4.2644422388920144e-07,False
open_t-3,4.111017540806845e-07,False
