Feature,Importance,Selected
humedadMax,2.0164996833418893,True
humedadMax_t-1,2.0164319442448586,True
humedadMedia_t-1,0.9774467536710368,False
humedadMedia_t-2,0.46581241098260895,False
humedadMin_t-2,0.36123396878572767,False
humedadMax_t-2,0.24258989419228275,False
humedadMax_t+1,0.23866737311788966,False
humedadMin_t-1,0.20298360458271864,False
tempMax_t-1,0.1918402370136227,False
tempMax_t-2,0.08323496286220416,False
bateria_t-1,0.03842467878271224,False
tempMin_t-2,0.02353590261036007,False
dia_t-6,0.0,False
velViento_t-2,0.0,False
dia_t-2,0.0,False
tempMedia_t-2,0.0,False
velVientoMax_t-2,0.0,False
bateria_t-3,0.0,False
precipitacion_t-3,0.0,False
radiacion_t-3,0.0,False
dirVientoVelMax_t-3,0.0,False
velVientoMax_t-3,0.0,False
dirViento_t-3,0.0,False
velViento_t-3,0.0,False
humedadMin_t-3,0.0,False
dirViento_t-2,0.0,False
bateria_t-2,0.0,False
dirVientoVelMax_t-2,0.0,False
radiacion_t-2,0.0,False
humedadMax_t+5,0.0,False
humedadMax_t+4,0.0,False
humedadMax_t+3,0.0,False
humedadMax_t+2,0.0,False
precipitacion_t-1,0.0,False
radiacion_t-1,0.0,False
dirVientoVelMax_t-1,0.0,False
velVientoMax_t-1,0.0,False
dirViento_t-1,0.0,False
velViento_t-1,0.0,False
tempMin_t-1,0.0,False
tempMedia_t-1,0.0,False
dia_t-1,0.0,False
humedadMedia_t-3,0.0,False
precipitacion_t-2,0.0,False
humedadMax_t-3,0.0,False
tempMin_t-3,0.0,False
tempMedia_t-6,0.0,False
dirViento_t-5,0.0,False
humedadMin_t-5,0.0,False
humedadMax_t-5,0.0,False
humedadMedia_t-5,0.0,False
tempMin_t-5,0.0,False
tempMax_t-5,0.0,False
tempMedia_t-5,0.0,False
dia_t-5,0.0,False
bateria_t-6,0.0,False
precipitacion_t-6,0.0,False
radiacion_t-6,0.0,False
dirVientoVelMax_t-6,0.0,False
velVientoMax_t-6,0.0,False
dirViento_t-6,0.0,False
velViento_t-6,0.0,False
humedadMin_t-6,0.0,False
humedadMax_t-6,0.0,False
humedadMedia_t-6,0.0,False
tempMin_t-6,0.0,False
tempMax_t-6,0.0,False
velViento_t-5,0.0,False
velVientoMax_t-5,0.0,False
tempMax_t-3,0.0,False
dirVientoVelMax_t-5,0.0,False
tempMedia_t-3,0.0,False
dia_t-3,0.0,False
bateria_t-4,0.0,False
precipitacion_t-4,0.0,False
radiacion_t-4,0.0,False
dirVientoVelMax_t-4,0.0,False
velVientoMax_t-4,0.0,False
dirViento_t-4,0.0,False
velViento_t-4,0.0,False
humedadMin_t-4,0.0,False
humedadMax_t-4,0.0,False
humedadMedia_t-4,0.0,False
tempMin_t-4,0.0,False
tempMax_t-4,0.0,False
tempMedia_t-4,0.0,False
dia_t-4,0.0,False
bateria_t-5,0.0,False
precipitacion_t-5,0.0,False
radiacion_t-5,0.0,False
humedadMax_t+6,0.0,False
