fecha,humedadMax,humedadMax_t-1,humedadMax
2022-01-06,98.0,98.0,98.0
2022-01-07,98.8,98.8,98.8
2022-01-08,93.7,93.7,93.7
2022-01-09,95.8,95.8,95.8
2022-01-10,94.8,94.8,94.8
2022-01-11,93.6,93.6,93.6
2022-01-12,96.3,96.3,96.3
2022-01-13,90.3,90.3,90.3
2022-01-14,88.9,88.9,88.9
2022-01-15,93.4,93.4,93.4
2022-01-16,91.7,91.7,91.7
2022-01-17,89.8,89.8,89.8
2022-01-18,93.8,93.8,93.8
2022-01-19,92.8,92.8,92.8
2022-01-20,91.4,91.4,91.4
2022-01-21,92.4,92.4,92.4
2022-01-22,91.9,91.9,91.9
2022-01-23,83.7,83.7,83.7
2022-01-24,90.6,90.6,90.6
2022-01-25,91.9,91.9,91.9
2022-01-26,83.1,83.1,83.1
2022-01-27,87.6,87.6,87.6
2022-01-28,87.7,87.7,87.7
2022-01-29,76.5,76.5,76.5
2022-01-30,74.0,74.0,74.0
2022-01-31,76.4,76.4,76.4
2022-02-01,80.3,80.3,80.3
2022-02-02,77.6,77.6,77.6
2022-02-03,80.4,80.4,80.4
2022-02-04,92.1,92.1,92.1
2022-02-05,97.8,97.8,97.8
2022-02-06,92.4,92.4,92.4
2022-02-07,91.9,91.9,91.9
2022-02-08,85.5,85.5,85.5
2022-02-09,85.5,85.5,85.5
2022-02-10,86.1,86.1,86.1
2022-02-11,80.9,80.9,80.9
2022-02-12,90.4,90.4,90.4
2022-02-13,88.8,88.8,88.8
2022-02-14,96.4,96.4,96.4
2022-02-15,83.3,83.3,83.3
2022-02-16,84.9,84.9,84.9
2022-02-17,85.5,85.5,85.5
2022-02-18,90.2,90.2,90.2
2022-02-19,89.8,89.8,89.8
2022-02-20,91.0,91.0,91.0
2022-02-21,86.8,86.8,86.8
2022-02-22,69.94,69.94,69.94
2022-02-23,66.86,66.86,66.86
2022-02-24,69.23,69.23,69.23
2022-02-25,92.2,92.2,92.2
2022-02-26,98.6,98.6,98.6
2022-02-27,91.5,91.5,91.5
2022-02-28,97.8,97.8,97.8
2022-03-01,90.1,90.1,90.1
2022-03-02,84.5,84.5,84.5
2022-03-03,94.8,94.8,94.8
2022-03-04,83.4,83.4,83.4
2022-03-05,91.1,91.1,91.1
2022-03-06,92.7,92.7,92.7
2022-03-07,85.6,85.6,85.6
2022-03-08,99.6,99.6,99.6
2022-03-09,100.0,100.0,100.0
2022-03-10,93.4,93.4,93.4
2022-03-11,100.0,100.0,100.0
2022-03-12,100.0,100.0,100.0
2022-03-13,100.0,100.0,100.0
2022-03-14,100.0,100.0,100.0
2022-03-15,98.8,98.8,98.8
2022-03-16,100.0,100.0,100.0
2022-03-17,100.0,100.0,100.0
2022-03-18,96.6,96.6,96.6
2022-03-19,100.0,100.0,100.0
2022-03-20,89.1,89.1,89.1
2022-03-21,95.2,95.2,95.2
2022-03-22,99.6,99.6,99.6
2022-03-23,99.0,99.0,99.0
2022-03-24,100.0,100.0,100.0
2022-03-25,100.0,100.0,100.0
2022-03-26,96.4,96.4,96.4
