fecha,dia_t-6,tempMedia_t-6,humedadMax_t-6,tempMedia_t-5,tempMax_t-5,velViento_t-5,dirViento_t-5,velVientoMax_t-5,precipitacion_t-5,bateria_t-5,tempMedia_t-4,tempMax_t-4,humedadMedia_t-4,velViento_t-4,velVientoMax_t-4,tempMedia_t-3,tempMin_t-3,humedadMedia_t-3,dirVientoVelMax_t-3,radiacion_t-3,precipitacion_t-3,dia_t-2,tempMedia_t-2,tempMin_t-2,humedadMax_t-2,dirViento_t-2,dirVientoVelMax_t-2,radiacion_t-2,bateria_t-2,tempMedia_t-1,humedadMedia_t-1,humedadMax_t-1,dirViento_t-1,bateria_t-1,humedadMax,humedadMax_t+3,humedadMax_t+5,humedadMax
2022-01-06,1,10.97,100.0,10.1,19.78,0.662,165.7,2.96,0.2,12.71,11.26,21.57,79.8,0.681,2.871,12.78,7.33,84.4,323.7,5.936,0.6,5,10.72,4.927,96.0,211.5,247.1,8.93,12.74,10.07,83.6,98.0,36.02,12.69,98.0,95.8,93.6,98.0
2022-01-07,2,10.1,100.0,11.26,21.57,0.681,163.9,2.871,0.2,12.73,12.78,19.79,84.4,1.917,9.72,10.72,4.927,80.1,247.1,8.93,2.6,6,10.07,3.926,98.0,36.02,23.91,8.98,12.69,8.32,79.6,98.8,33.9,12.61,98.8,94.8,96.3,98.8
2022-01-08,3,11.26,100.0,12.78,19.79,1.917,213.7,9.72,0.6,12.75,10.72,16.18,80.1,1.51,5.292,10.07,3.926,83.6,23.91,8.98,0.4,7,8.32,2.26,98.8,33.9,32.82,10.76,12.61,8.73,72.9,93.7,45.31,12.73,93.7,93.6,90.3,93.7
2022-01-09,4,12.78,100.0,10.72,16.18,1.51,211.5,5.292,2.6,12.74,10.07,15.58,83.6,1.671,6.556,8.32,2.26,79.6,32.82,10.76,0.0,8,8.73,2.126,93.7,45.31,73.9,11.35,12.73,6.625,76.7,95.8,173.9,12.68,95.8,96.3,88.9,95.8
2022-01-10,5,10.72,96.0,10.07,15.58,1.671,36.02,6.556,0.4,12.69,8.32,16.45,79.6,2.01,7.6,8.73,2.126,72.9,73.9,11.35,0.0,9,6.625,-1.271,95.8,173.9,35.1,10.74,12.68,9.42,81.4,94.8,21.09,12.74,94.8,90.3,93.4,94.8
2022-01-11,6,10.07,98.0,8.32,16.45,2.01,33.9,7.6,0.0,12.61,8.73,17.72,72.9,1.87,6.586,6.625,-1.271,76.7,35.1,10.74,0.0,10,9.42,2.461,94.8,21.09,25.42,10.47,12.74,13.16,73.0,93.6,22.72,12.83,93.6,88.9,91.7,93.6
2022-01-12,7,8.32,98.8,8.73,17.72,1.87,45.31,6.586,0.0,12.73,6.625,15.78,76.7,0.77,4.322,9.42,2.461,81.4,25.42,10.47,0.0,11,13.16,7.06,93.6,22.72,24.49,10.74,12.83,10.38,74.2,96.3,46.19,12.81,96.3,93.4,89.8,96.3
2022-01-13,8,8.73,93.7,6.625,15.78,0.77,173.9,4.322,0.0,12.68,9.42,17.58,81.4,1.753,7.5,13.16,7.06,73.0,24.49,10.74,0.2,12,10.38,2.728,96.3,46.19,143.1,9.44,12.81,8.55,67.4,90.3,102.0,12.67,90.3,91.7,93.8,90.3
2022-01-14,9,6.625,95.8,9.42,17.58,1.753,21.09,7.5,0.0,12.74,13.16,21.64,73.0,1.942,6.448,10.38,2.728,74.2,143.1,9.44,0.0,13,8.55,0.657,90.3,102.0,143.4,10.95,12.67,9.48,68.76,88.9,67.81,12.74,88.9,89.8,92.8,88.9
2022-01-15,10,9.42,94.8,13.16,21.64,1.942,22.72,6.448,0.2,12.83,10.38,19.78,74.2,0.971,4.488,8.55,0.657,67.4,143.4,10.95,0.0,14,9.48,1.324,88.9,67.81,0.0,10.22,12.74,9.59,73.0,93.4,61.95,12.74,93.4,93.8,91.4,93.4
