Feature,Importance,Selected
humedadMax_t-1,0.94,True
humedadMax,0.86,True
dia_t-1,0.86,False
dia_t-6,0.82,True
dia_t-2,0.74,True
velVientoMax_t-4,0.74,True
humedadMedia_t-2,0.72,False
humedadMedia_t-1,0.66,True
radiacion_t-2,0.66,True
tempMax_t-5,0.64,True
bateria_t-3,0.64,False
tempMedia_t-3,0.64,True
dirVientoVelMax_t-1,0.64,False
velVientoMax_t-2,0.62,False
humedadMedia_t-3,0.62,True
velViento_t-2,0.6,False
velVientoMax_t-3,0.6,False
tempMin_t-2,0.6,True
tempMin_t-1,0.58,False
dirViento_t-5,0.58,True
velViento_t-4,0.58,True
dirViento_t-1,0.58,True
precipitacion_t-1,0.58,False
tempMedia_t-1,0.56,True
precipitacion_t-5,0.56,True
dirVientoVelMax_t-4,0.54,False
dirVientoVelMax_t-5,0.54,False
precipitacion_t-6,0.54,False
humedadMin_t-3,0.54,False
velViento_t-1,0.54,False
precipitacion_t-4,0.52,False
velViento_t-5,0.52,True
bateria_t-6,0.52,False
humedadMax_t-6,0.52,True
humedadMax_t+4,0.52,False
humedadMax_t+3,0.5,True
precipitacion_t-2,0.48,False
humedadMax_t-5,0.48,False
humedadMin_t-1,0.48,False
radiacion_t-4,0.48,False
dia_t-3,0.48,False
bateria_t-2,0.46,True
humedadMax_t+1,0.46,False
tempMin_t-3,0.46,True
velViento_t-6,0.46,False
tempMedia_t-5,0.46,True
dirViento_t-6,0.44,False
tempMin_t-6,0.44,False
dirViento_t-3,0.44,False
dirViento_t-2,0.44,True
tempMax_t-3,0.42,False
tempMedia_t-6,0.42,True
dia_t-4,0.42,False
humedadMin_t-4,0.42,False
tempMedia_t-4,0.42,True
velVientoMax_t-5,0.42,True
humedadMedia_t-5,0.4,False
humedadMedia_t-4,0.4,True
humedadMax_t+2,0.4,False
tempMedia_t-2,0.38,True
tempMin_t-5,0.38,False
radiacion_t-5,0.38,False
velVientoMax_t-1,0.36,False
tempMax_t-4,0.36,True
humedadMax_t-4,0.36,False
radiacion_t-1,0.36,False
dirVientoVelMax_t-3,0.36,True
tempMax_t-6,0.36,False
bateria_t-1,0.34,True
bateria_t-5,0.34,True
humedadMax_t-2,0.34,True
tempMin_t-4,0.34,False
radiacion_t-3,0.34,True
humedadMax_t+6,0.32,False
humedadMedia_t-6,0.32,False
precipitacion_t-3,0.32,True
radiacion_t-6,0.3,False
velViento_t-3,0.3,False
humedadMin_t-2,0.28,False
dirViento_t-4,0.28,False
dirVientoVelMax_t-2,0.28,True
humedadMax_t+5,0.26,True
humedadMin_t-6,0.24,False
bateria_t-4,0.24,False
humedadMin_t-5,0.24,False
dirVientoVelMax_t-6,0.22,False
humedadMax_t-3,0.2,False
velVientoMax_t-6,0.16,False
dia_t-5,0.16,False
tempMax_t-1,0.14,False
tempMax_t-2,0.1,False
