fecha,dirVientoVelMax_t-3,dirVientoVelMax_t-6,humedadMax
2022-01-06,323.7,280.2,98.0
2022-01-07,247.1,328.9,98.8
2022-01-08,23.91,157.0,93.7
2022-01-09,32.82,323.7,95.8
2022-01-10,73.9,247.1,94.8
2022-01-11,35.1,23.91,93.6
2022-01-12,25.42,32.82,96.3
2022-01-13,24.49,73.9,90.3
2022-01-14,143.1,35.1,88.9
2022-01-15,143.4,25.42,93.4
2022-01-16,0.0,24.49,91.7
2022-01-17,65.83,143.1,89.8
2022-01-18,40.41,143.4,93.8
2022-01-19,354.5,0.0,92.8
2022-01-20,10.43,65.83,91.4
2022-01-21,17.74,40.41,92.4
2022-01-22,14.99,354.5,91.9
2022-01-23,11.38,10.43,83.7
2022-01-24,161.0,17.74,90.6
2022-01-25,152.6,14.99,91.9
2022-01-26,344.8,11.38,83.1
2022-01-27,100.4,161.0,87.6
2022-01-28,84.7,152.6,87.7
2022-01-29,63.48,344.8,76.5
2022-01-30,71.8,100.4,74.0
2022-01-31,81.7,84.7,76.4
2022-02-01,336.5,63.48,80.3
2022-02-02,2.181,71.8,77.6
2022-02-03,23.82,81.7,80.4
2022-02-04,1.328,336.5,92.1
2022-02-05,284.6,2.181,97.8
2022-02-06,315.3,23.82,92.4
2022-02-07,253.1,1.328,91.9
2022-02-08,14.13,284.6,85.5
2022-02-09,25.33,315.3,85.5
2022-02-10,155.3,253.1,86.1
2022-02-11,310.6,14.13,80.9
2022-02-12,2.845,25.33,90.4
2022-02-13,1.992,155.3,88.8
2022-02-14,336.6,310.6,96.4
2022-02-15,241.1,2.845,83.3
2022-02-16,324.0,1.992,84.9
2022-02-17,9.11,336.6,85.5
2022-02-18,317.8,241.1,90.2
2022-02-19,5.976,324.0,89.8
2022-02-20,205.5,9.11,91.0
2022-02-21,301.2,317.8,86.8
2022-02-22,55.95,5.976,69.94
2022-02-23,11.38,205.5,66.86
2022-02-24,30.94,301.2,69.23
2022-02-25,152.3,55.95,92.2
2022-02-26,92.7,11.38,98.6
2022-02-27,138.1,30.94,91.5
2022-02-28,303.2,152.3,97.8
2022-03-01,326.8,92.7,90.1
2022-03-02,301.3,138.1,84.5
2022-03-03,5.312,303.2,94.8
2022-03-04,294.7,326.8,83.4
2022-03-05,301.2,301.3,91.1
2022-03-06,1.707,5.312,92.7
2022-03-07,157.7,294.7,85.6
2022-03-08,354.4,301.2,99.6
2022-03-09,176.9,1.707,100.0
2022-03-10,143.2,157.7,93.4
2022-03-11,174.8,354.4,100.0
2022-03-12,170.3,176.9,100.0
2022-03-13,207.5,143.2,100.0
2022-03-14,197.5,174.8,100.0
2022-03-15,132.2,170.3,98.8
2022-03-16,92.3,207.5,100.0
2022-03-17,182.3,197.5,100.0
2022-03-18,310.6,132.2,96.6
2022-03-19,34.05,92.3,100.0
2022-03-20,139.9,182.3,89.1
2022-03-21,148.0,310.6,95.2
2022-03-22,133.5,34.05,99.6
2022-03-23,176.1,139.9,99.0
2022-03-24,116.4,148.0,100.0
2022-03-25,15.37,133.5,100.0
2022-03-26,336.9,176.1,96.4
