fecha,humedadMax_t-1,humedadMedia_t-1,humedadMax
2022-01-06,98.0,83.6,98.0
2022-01-07,98.8,79.6,98.8
2022-01-08,93.7,72.9,93.7
2022-01-09,95.8,76.7,95.8
2022-01-10,94.8,81.4,94.8
2022-01-11,93.6,73.0,93.6
2022-01-12,96.3,74.2,96.3
2022-01-13,90.3,67.4,90.3
2022-01-14,88.9,68.76,88.9
2022-01-15,93.4,73.0,93.4
2022-01-16,91.7,70.5,91.7
2022-01-17,89.8,71.2,89.8
2022-01-18,93.8,72.7,93.8
2022-01-19,92.8,72.9,92.8
2022-01-20,91.4,69.42,91.4
2022-01-21,92.4,70.5,92.4
2022-01-22,91.9,67.16,91.9
2022-01-23,83.7,64.84,83.7
2022-01-24,90.6,78.5,90.6
2022-01-25,91.9,68.19,91.9
2022-01-26,83.1,66.74,83.1
2022-01-27,87.6,62.61,87.6
2022-01-28,87.7,59.51,87.7
2022-01-29,76.5,50.85,76.5
2022-01-30,74.0,49.09,74.0
2022-01-31,76.4,51.03,76.4
2022-02-01,80.3,52.36,80.3
2022-02-02,77.6,52.38,77.6
2022-02-03,80.4,55.51,80.4
2022-02-04,92.1,68.85,92.1
2022-02-05,97.8,75.9,97.8
2022-02-06,92.4,69.28,92.4
2022-02-07,91.9,65.45,91.9
2022-02-08,85.5,60.82,85.5
2022-02-09,85.5,61.19,85.5
2022-02-10,86.1,62.26,86.1
2022-02-11,80.9,62.24,80.9
2022-02-12,90.4,69.78,90.4
2022-02-13,88.8,68.74,88.8
2022-02-14,96.4,64.15,96.4
2022-02-15,83.3,54.49,83.3
2022-02-16,84.9,55.58,84.9
2022-02-17,85.5,63.81,85.5
2022-02-18,90.2,71.4,90.2
2022-02-19,89.8,69.54,89.8
2022-02-20,91.0,67.24,91.0
2022-02-21,86.8,53.36,86.8
2022-02-22,69.94,42.63,69.94
2022-02-23,66.86,42.79,66.86
2022-02-24,69.23,50.14,69.23
2022-02-25,92.2,67.1,92.2
2022-02-26,98.6,79.6,98.6
2022-02-27,91.5,74.3,91.5
2022-02-28,97.8,71.9,97.8
2022-03-01,90.1,58.49,90.1
2022-03-02,84.5,63.31,84.5
2022-03-03,94.8,70.8,94.8
2022-03-04,83.4,61.74,83.4
2022-03-05,91.1,68.26,91.1
2022-03-06,92.7,65.08,92.7
2022-03-07,85.6,58.63,85.6
2022-03-08,99.6,82.3,99.6
2022-03-09,100.0,77.7,100.0
2022-03-10,93.4,72.3,93.4
2022-03-11,100.0,88.5,100.0
2022-03-12,100.0,86.3,100.0
2022-03-13,100.0,79.2,100.0
2022-03-14,100.0,84.7,100.0
2022-03-15,98.8,91.3,98.8
2022-03-16,100.0,94.6,100.0
2022-03-17,100.0,81.7,100.0
2022-03-18,96.6,78.1,96.6
2022-03-19,100.0,75.0,100.0
2022-03-20,89.1,67.83,89.1
2022-03-21,95.2,81.5,95.2
2022-03-22,99.6,83.2,99.6
2022-03-23,99.0,84.2,99.0
2022-03-24,100.0,94.2,100.0
2022-03-25,100.0,81.0,100.0
2022-03-26,96.4,77.6,96.4
