Feature,Importance,Selected
dia_t-6,0.0,True
humedadMin_t-2,0.0,False
humedadMedia_t-2,0.0,False
tempMin_t-2,0.0,False
tempMax_t-2,0.0,False
tempMedia_t-2,0.0,False
dia_t-2,0.0,False
bateria_t-3,0.0,False
precipitacion_t-3,0.0,False
radiacion_t-3,0.0,False
dirVientoVelMax_t-3,0.0,False
velVientoMax_t-3,0.0,False
dirViento_t-3,0.0,False
velViento_t-3,0.0,False
humedadMin_t-3,0.0,False
humedadMax_t-3,0.0,False
humedadMedia_t-3,0.0,False
tempMin_t-3,0.0,False
tempMax_t-3,0.0,False
humedadMax_t-2,0.0,False
velViento_t-2,0.0,False
tempMedia_t-6,0.0,False
dirViento_t-2,0.0,False
precipitacion_t-1,0.0,False
radiacion_t-1,0.0,False
dirVientoVelMax_t-1,0.0,False
velVientoMax_t-1,0.0,False
dirViento_t-1,0.0,False
velViento_t-1,0.0,False
humedadMin_t-1,0.0,False
humedadMedia_t-1,0.0,False
tempMin_t-1,0.0,False
tempMax_t-1,0.0,False
tempMedia_t-1,0.0,False
dia_t-1,0.0,False
bateria_t-2,0.0,False
precipitacion_t-2,0.0,False
radiacion_t-2,0.0,False
dirVientoVelMax_t-2,0.0,False
velVientoMax_t-2,0.0,False
tempMedia_t-3,0.0,False
dia_t-3,0.0,False
bateria_t-4,0.0,False
precipitacion_t-4,0.0,False
humedadMedia_t-5,0.0,False
tempMin_t-5,0.0,False
tempMax_t-5,0.0,False
tempMedia_t-5,0.0,False
dia_t-5,0.0,False
bateria_t-6,0.0,False
precipitacion_t-6,0.0,False
radiacion_t-6,0.0,False
dirVientoVelMax_t-6,0.0,False
velVientoMax_t-6,0.0,False
dirViento_t-6,0.0,False
velViento_t-6,0.0,False
humedadMin_t-6,0.0,False
humedadMax_t-6,0.0,False
humedadMedia_t-6,0.0,False
tempMin_t-6,0.0,False
tempMax_t-6,0.0,False
humedadMax_t-5,0.0,False
humedadMin_t-5,0.0,False
velViento_t-5,0.0,False
dirViento_t-5,0.0,False
radiacion_t-4,0.0,False
dirVientoVelMax_t-4,0.0,False
velVientoMax_t-4,0.0,False
dirViento_t-4,0.0,False
velViento_t-4,0.0,False
humedadMin_t-4,0.0,False
humedadMax_t-4,0.0,False
humedadMedia_t-4,0.0,False
tempMin_t-4,0.0,False
tempMax_t-4,0.0,False
tempMedia_t-4,0.0,False
dia_t-4,0.0,False
bateria_t-5,0.0,False
precipitacion_t-5,0.0,False
radiacion_t-5,0.0,False
dirVientoVelMax_t-5,0.0,False
velVientoMax_t-5,0.0,False
bateria_t-1,0.0,False
humedadMax_t-1,-1.7670484276950663e-29,True
