fecha,dirViento_t-1,dirViento_t-2,humedadMax
2022-01-06,36.02,211.5,98.0
2022-01-07,33.9,36.02,98.8
2022-01-08,45.31,33.9,93.7
2022-01-09,173.9,45.31,95.8
2022-01-10,21.09,173.9,94.8
2022-01-11,22.72,21.09,93.6
2022-01-12,46.19,22.72,96.3
2022-01-13,102.0,46.19,90.3
2022-01-14,67.81,102.0,88.9
2022-01-15,61.95,67.81,93.4
2022-01-16,22.69,61.95,91.7
2022-01-17,5.756,22.69,89.8
2022-01-18,19.56,5.756,93.8
2022-01-19,1.93,19.56,92.8
2022-01-20,54.52,1.93,91.4
2022-01-21,33.38,54.52,92.4
2022-01-22,55.33,33.38,91.9
2022-01-23,51.48,55.33,83.7
2022-01-24,12.56,51.48,90.6
2022-01-25,53.15,12.56,91.9
2022-01-26,55.31,53.15,83.1
2022-01-27,83.2,55.31,87.6
2022-01-28,103.4,83.2,87.7
2022-01-29,69.12,103.4,76.5
2022-01-30,233.8,69.12,74.0
2022-01-31,60.75,233.8,76.4
2022-02-01,49.2,60.75,80.3
2022-02-02,36.43,49.2,77.6
2022-02-03,191.2,36.43,80.4
2022-02-04,253.0,191.2,92.1
2022-02-05,167.8,253.0,97.8
2022-02-06,45.31,167.8,92.4
2022-02-07,41.64,45.31,91.9
2022-02-08,133.8,41.64,85.5
2022-02-09,341.3,133.8,85.5
2022-02-10,61.1,341.3,86.1
2022-02-11,180.4,61.1,80.9
2022-02-12,32.05,180.4,90.4
2022-02-13,181.2,32.05,88.8
2022-02-14,295.4,181.2,96.4
2022-02-15,58.09,295.4,83.3
2022-02-16,345.6,58.09,84.9
2022-02-17,16.95,345.6,85.5
2022-02-18,194.2,16.95,90.2
2022-02-19,190.7,194.2,89.8
2022-02-20,77.6,190.7,91.0
2022-02-21,39.59,77.6,86.8
2022-02-22,90.5,39.59,69.94
2022-02-23,108.4,90.5,66.86
2022-02-24,135.5,108.4,69.23
2022-02-25,48.29,135.5,92.2
2022-02-26,289.1,48.29,98.6
2022-02-27,279.4,289.1,91.5
2022-02-28,266.8,279.4,97.8
2022-03-01,106.3,266.8,90.1
2022-03-02,212.9,106.3,84.5
2022-03-03,215.3,212.9,94.8
2022-03-04,308.4,215.3,83.4
2022-03-05,184.1,308.4,91.1
2022-03-06,349.3,184.1,92.7
2022-03-07,186.7,349.3,85.6
2022-03-08,162.8,186.7,99.6
2022-03-09,197.6,162.8,100.0
2022-03-10,188.8,197.6,93.4
2022-03-11,184.2,188.8,100.0
2022-03-12,212.5,184.2,100.0
2022-03-13,32.75,212.5,100.0
2022-03-14,65.26,32.75,100.0
2022-03-15,207.8,65.26,98.8
2022-03-16,223.4,207.8,100.0
2022-03-17,15.7,223.4,100.0
2022-03-18,53.38,15.7,96.6
2022-03-19,100.6,53.38,100.0
2022-03-20,120.3,100.6,89.1
2022-03-21,168.3,120.3,95.2
2022-03-22,114.0,168.3,99.6
2022-03-23,74.3,114.0,99.0
2022-03-24,57.94,74.3,100.0
2022-03-25,78.9,57.94,100.0
2022-03-26,83.7,78.9,96.4
