fecha_t-6,humedadMedia_lag1_t-6,humedadMin_lag1_t-6,humedadMax_t-6,fecha_t-5,humedadMedia_lag1_t-5,humedadMin_lag1_t-5,humedadMax_t-5,fecha_t-4,humedadMedia_lag1_t-4,humedadMin_lag1_t-4,humedadMax_t-4,fecha_t-3,humedadMedia_lag1_t-3,humedadMin_lag1_t-3,humedadMax_t-3,fecha_t-2,humedadMedia_lag1_t-2,humedadMin_lag1_t-2,humedadMax_t-2,fecha_t-1,humedadMedia_lag1_t-1,humedadMin_lag1_t-1,humedadMax_t-1,humedadMax_t+1,humedadMax_t+2,humedadMax_t+3,humedadMax_t+4,humedadMax_t+5,humedadMax_t+6
2022-01-07,83.6,55.11,98.8,2022-01-08,79.6,45.09,93.7,2022-01-09,72.9,39.35,95.8,2022-01-10,76.7,44.69,94.8,2022-01-11,81.4,59.85,93.6,2022-01-12,73.0,43.21,96.3,90.3,88.9,93.4,91.7,89.8,93.8
2022-01-08,79.6,45.09,93.7,2022-01-09,72.9,39.35,95.8,2022-01-10,76.7,44.69,94.8,2022-01-11,81.4,59.85,93.6,2022-01-12,73.0,43.21,96.3,2022-01-13,74.2,43.95,90.3,88.9,93.4,91.7,89.8,93.8,92.8
2022-01-09,72.9,39.35,95.8,2022-01-10,76.7,44.69,94.8,2022-01-11,81.4,59.85,93.6,2022-01-12,73.0,43.21,96.3,2022-01-13,74.2,43.95,90.3,2022-01-14,67.4,38.54,88.9,93.4,91.7,89.8,93.8,92.8,91.4
2022-01-10,76.7,44.69,94.8,2022-01-11,81.4,59.85,93.6,2022-01-12,73.0,43.21,96.3,2022-01-13,74.2,43.95,90.3,2022-01-14,67.4,38.54,88.9,2022-01-15,68.76,38.68,93.4,91.7,89.8,93.8,92.8,91.4,92.4
2022-01-11,81.4,59.85,93.6,2022-01-12,73.0,43.21,96.3,2022-01-13,74.2,43.95,90.3,2022-01-14,67.4,38.54,88.9,2022-01-15,68.76,38.68,93.4,2022-01-16,73.0,47.16,91.7,89.8,93.8,92.8,91.4,92.4,91.9
2022-01-12,73.0,43.21,96.3,2022-01-13,74.2,43.95,90.3,2022-01-14,67.4,38.54,88.9,2022-01-15,68.76,38.68,93.4,2022-01-16,73.0,47.16,91.7,2022-01-17,70.5,41.48,89.8,93.8,92.8,91.4,92.4,91.9,83.7
2022-01-13,74.2,43.95,90.3,2022-01-14,67.4,38.54,88.9,2022-01-15,68.76,38.68,93.4,2022-01-16,73.0,47.16,91.7,2022-01-17,70.5,41.48,89.8,2022-01-18,71.2,39.95,93.8,92.8,91.4,92.4,91.9,83.7,90.6
2022-01-14,67.4,38.54,88.9,2022-01-15,68.76,38.68,93.4,2022-01-16,73.0,47.16,91.7,2022-01-17,70.5,41.48,89.8,2022-01-18,71.2,39.95,93.8,2022-01-19,72.7,40.95,92.8,91.4,92.4,91.9,83.7,90.6,91.9
2022-01-15,68.76,38.68,93.4,2022-01-16,73.0,47.16,91.7,2022-01-17,70.5,41.48,89.8,2022-01-18,71.2,39.95,93.8,2022-01-19,72.7,40.95,92.8,2022-01-20,72.9,44.22,91.4,92.4,91.9,83.7,90.6,91.9,83.1
2022-01-16,73.0,47.16,91.7,2022-01-17,70.5,41.48,89.8,2022-01-18,71.2,39.95,93.8,2022-01-19,72.7,40.95,92.8,2022-01-20,72.9,44.22,91.4,2022-01-21,69.42,39.08,92.4,91.9,83.7,90.6,91.9,83.1,87.6
2022-01-17,70.5,41.48,89.8,2022-01-18,71.2,39.95,93.8,2022-01-19,72.7,40.95,92.8,2022-01-20,72.9,44.22,91.4,2022-01-21,69.42,39.08,92.4,2022-01-22,70.5,39.21,91.9,83.7,90.6,91.9,83.1,87.6,87.7
